Skill,hierarchy_level_1,count_in_uae,count_in_us
.NET Development,1 - managers,2,6
.NET Development,2 - professionals,71,146
.NET Development,3 - technicians and associate professionals,3,1
.NET Framework,1 - managers,182,241
.NET Framework,2 - professionals,1992,2919
.NET Framework,3 - technicians and associate professionals,118,102
.NET Framework,4 - clerical support workers,15,11
.NET Framework,5 - service and sales workers,25,11
.NET Framework,"6 - skilled agricultural, forestry and fishery workers",2,0
.NET Framework,7 - craft and related trades workers,22,15
.NET Framework,8 - plant and machine operators and assemblers,8,24
.NET Framework,9 - elementary occupations,3,0
.NET Framework 3,2 - professionals,1,1
.NET Framework 4,3 - technicians and associate professionals,2,0
.NET MAUI (Multi-Platform App UI),2 - professionals,4,67
.NET Remoting,2 - professionals,1,0
.htaccess Files,1 - managers,1,0
.htaccess Files,2 - professionals,3,0
12 Volt Electricity,1 - managers,3,7
12 Volt Electricity,7 - craft and related trades workers,3,36
1Password,2 - professionals,1,23
1Password,5 - service and sales workers,1,0
2020 Design Software,3 - technicians and associate professionals,1,1
2D Animation,1 - managers,2,0
2D Animation,2 - professionals,61,6
2D Animation,3 - technicians and associate professionals,2,0
2D Computer Graphics,2 - professionals,22,3
2D Computer Graphics,3 - technicians and associate professionals,2,0
2D Computer-Aided Drafting And Design,1 - managers,4,0
2D Computer-Aided Drafting And Design,2 - professionals,59,67
2D Computer-Aided Drafting And Design,3 - technicians and associate professionals,28,5
2D Computer-Aided Drafting And Design,4 - clerical support workers,1,0
2D Computer-Aided Drafting And Design,7 - craft and related trades workers,2,9
2D Computer-Aided Drafting And Design,8 - plant and machine operators and assemblers,1,3
360-Degree Feedback,1 - managers,24,14
360-Degree Feedback,2 - professionals,46,10
360-Degree Feedback,3 - technicians and associate professionals,15,3
360-Degree Feedback,5 - service and sales workers,1,0
360-Degree Feedback,9 - elementary occupations,3,0
3D Animation,1 - managers,6,0
3D Animation,2 - professionals,156,34
3D Animation,3 - technicians and associate professionals,17,1
3D Animation,8 - plant and machine operators and assemblers,2,0
3D Art,2 - professionals,79,7
3D Art,3 - technicians and associate professionals,2,4
3D Art,7 - craft and related trades workers,1,0
3D Computer Graphics,1 - managers,1,4
3D Computer Graphics,2 - professionals,49,87
3D Computer Graphics,3 - technicians and associate professionals,3,8
3D Computer Graphics,7 - craft and related trades workers,1,1
3D Computer Graphics,8 - plant and machine operators and assemblers,4,1
3D Computer Graphics Software,1 - managers,2,0
3D Computer Graphics Software,2 - professionals,80,12
3D Computer Graphics Software,3 - technicians and associate professionals,13,0
3D Computer Graphics Software,7 - craft and related trades workers,1,1
3D Conformal Radiotherapy (3DCRT),3 - technicians and associate professionals,3,1
3D Graphic Design,2 - professionals,26,0
3D Graphic Design,3 - technicians and associate professionals,3,0
3D Graphic Design,8 - plant and machine operators and assemblers,1,0
3D Modeling,1 - managers,142,44
3D Modeling,2 - professionals,2108,946
3D Modeling,3 - technicians and associate professionals,607,197
3D Modeling,4 - clerical support workers,9,2
3D Modeling,5 - service and sales workers,16,4
3D Modeling,7 - craft and related trades workers,88,73
3D Modeling,8 - plant and machine operators and assemblers,24,27
3D Modeling,9 - elementary occupations,8,0
3D Modeling Software,1 - managers,5,3
3D Modeling Software,2 - professionals,283,102
3D Modeling Software,3 - technicians and associate professionals,55,11
3D Modeling Software,4 - clerical support workers,1,0
3D Modeling Software,5 - service and sales workers,3,0
3D Modeling Software,7 - craft and related trades workers,11,8
3D Modeling Software,8 - plant and machine operators and assemblers,3,2
3D Modeling Software,9 - elementary occupations,1,0
3D Production,1 - managers,1,1
3D Production,2 - professionals,2,2
3D Production,3 - technicians and associate professionals,1,8
3D Projection,3 - technicians and associate professionals,3,0
3D Reconstruction,2 - professionals,5,36
3D Rendering,1 - managers,8,3
3D Rendering,2 - professionals,97,77
3D Rendering,3 - technicians and associate professionals,56,19
3D Rendering,"6 - skilled agricultural, forestry and fishery workers",1,0
3D Rendering,7 - craft and related trades workers,1,2
3D Scanning,1 - managers,8,0
3D Scanning,2 - professionals,31,18
3D Scanning,3 - technicians and associate professionals,7,6
3D Scanning,7 - craft and related trades workers,5,0
3D Visualization,2 - professionals,27,4
3D Visualization,3 - technicians and associate professionals,8,0
3D Visualization,8 - plant and machine operators and assemblers,1,0
3GPP (Telecommunication),2 - professionals,40,30
3GPP (Telecommunication),3 - technicians and associate professionals,3,6
3GPP (Telecommunication),7 - craft and related trades workers,2,9
3GPP2 (Telecommunication),2 - professionals,26,0
3M Codefinder,3 - technicians and associate professionals,9,0
3rd Party Systems Integration,1 - managers,7,4
3rd Party Systems Integration,2 - professionals,11,14
3rd Party Systems Integration,3 - technicians and associate professionals,6,1
4D Modeling (Construction),2 - professionals,2,0
529 College Savings Planning,1 - managers,2,54
56 Kbit/S Modems,2 - professionals,1,2
5G Technology,1 - managers,66,149
5G Technology,2 - professionals,195,497
5G Technology,3 - technicians and associate professionals,50,92
5G Technology,4 - clerical support workers,36,143
5G Technology,5 - service and sales workers,41,12
5G Technology,7 - craft and related trades workers,31,42
5G Technology,8 - plant and machine operators and assemblers,5,17
5G Technology,9 - elementary occupations,2,1
5S Methodology,1 - managers,1,0
5S Methodology,2 - professionals,8,12
5S Methodology,3 - technicians and associate professionals,4,3
5S Methodology,5 - service and sales workers,1,1
64bit,2 - professionals,2,25
64bit,4 - clerical support workers,1,54
64bit,5 - service and sales workers,1,1
64bit,7 - craft and related trades workers,1,2
A/B Testing,1 - managers,525,380
A/B Testing,2 - professionals,587,723
A/B Testing,3 - technicians and associate professionals,78,49
A/B Testing,4 - clerical support workers,14,19
A/B Testing,5 - service and sales workers,16,7
A/B Testing,"6 - skilled agricultural, forestry and fishery workers",4,1
A/B Testing,7 - craft and related trades workers,2,2
AAA Server (Authentication Authorization And Accounting),1 - managers,2,1
AAA Server (Authentication Authorization And Accounting),2 - professionals,17,48
AAA Server (Authentication Authorization And Accounting),3 - technicians and associate professionals,4,3
AAA Video Games,2 - professionals,25,57
AC Motors,1 - managers,6,0
AC Motors,2 - professionals,43,29
AC Motors,3 - technicians and associate professionals,14,33
AC Motors,5 - service and sales workers,3,0
AC Motors,7 - craft and related trades workers,11,20
AC Motors,8 - plant and machine operators and assemblers,4,0
AC Power Plugs And Sockets,1 - managers,11,0
AC Power Plugs And Sockets,2 - professionals,11,1
AC Power Plugs And Sockets,3 - technicians and associate professionals,18,4
AC Power Plugs And Sockets,5 - service and sales workers,8,0
AC Power Plugs And Sockets,7 - craft and related trades workers,14,6
AC Power Plugs And Sockets,8 - plant and machine operators and assemblers,1,0
AC Power Plugs And Sockets,9 - elementary occupations,4,0
AC/DC Converters,2 - professionals,1,9
AC/DC Power,2 - professionals,34,41
AC/DC Power,3 - technicians and associate professionals,3,10
ACL Analytics (Audit Command Language),2 - professionals,5,1
ADDIE Instructional Design Model,1 - managers,8,5
ADDIE Instructional Design Model,2 - professionals,47,41
ADDIE Instructional Design Model,3 - technicians and associate professionals,8,2
ADDIE Instructional Design Model,5 - service and sales workers,1,2
ADDIE Instructional Design Model,7 - craft and related trades workers,1,0
ADO.NET (Programming Language),1 - managers,21,45
ADO.NET (Programming Language),2 - professionals,87,249
ADO.NET (Programming Language),3 - technicians and associate professionals,13,28
ADO.NET (Programming Language),4 - clerical support workers,12,0
ADO.NET (Programming Language),5 - service and sales workers,2,1
ADO.NET (Programming Language),7 - craft and related trades workers,1,12
ADP Enterprise,1 - managers,1,2
ADP Workforce Now,1 - managers,1,105
ADP Workforce Now,4 - clerical support workers,1,179
AERMOD,2 - professionals,2,0
AES3,3 - technicians and associate professionals,1,0
AGi32,2 - professionals,69,36
AGi32,3 - technicians and associate professionals,11,0
AGi32,7 - craft and related trades workers,1,4
AHIMA Standards Of Ethical Coding,3 - technicians and associate professionals,2,6
AI/ML Inference,1 - managers,2,8
AI/ML Inference,2 - professionals,25,252
AI/ML Inference,3 - technicians and associate professionals,2,7
AI/ML Inference,5 - service and sales workers,2,1
AI/ML Inference,7 - craft and related trades workers,2,0
AIOps (Artificial Intelligence For IT Operations),1 - managers,21,19
AIOps (Artificial Intelligence For IT Operations),2 - professionals,32,128
AIOps (Artificial Intelligence For IT Operations),3 - technicians and associate professionals,12,13
AIOps (Artificial Intelligence For IT Operations),4 - clerical support workers,1,2
AIOps (Artificial Intelligence For IT Operations),5 - service and sales workers,1,0
AISC 360 Specification For Structural Steel Buildings,2 - professionals,1,6
AISC 360 Specification For Structural Steel Buildings,5 - service and sales workers,1,1
AKTA (Chromatography Technology),2 - professionals,2,29
AMPL,1 - managers,1,0
AMPScript,1 - managers,2,7
AMPScript,2 - professionals,13,42
AMT Asset Management Software,3 - technicians and associate professionals,1,0
ANSI Escape Codes (Computer Standards),1 - managers,4,0
ANSI Escape Codes (Computer Standards),2 - professionals,8,6
ANSI Escape Codes (Computer Standards),3 - technicians and associate professionals,1,4
ANSI Escape Codes (Computer Standards),7 - craft and related trades workers,1,0
ANSI/ANS Standards,2 - professionals,1,5
ANSI/ANS Standards,3 - technicians and associate professionals,5,4
ANSI/ANS Standards,7 - craft and related trades workers,2,0
ANSI/TIA/EIA,2 - professionals,1,0
ANSI/TIA/EIA,7 - craft and related trades workers,1,0
ANSI/TIA/EIA,8 - plant and machine operators and assemblers,1,0
ANSYS Meshing,1 - managers,3,9
ANSYS Meshing,2 - professionals,47,190
ANSYS Meshing,3 - technicians and associate professionals,5,18
ANSYS Meshing,4 - clerical support workers,4,0
ANSYS Meshing,5 - service and sales workers,1,0
ANSYS Meshing,7 - craft and related trades workers,2,3
AP Stylebook,1 - managers,3,45
AP Stylebook,2 - professionals,12,88
API Design,1 - managers,46,52
API Design,2 - professionals,241,480
API Design,3 - technicians and associate professionals,2,22
API Design,4 - clerical support workers,4,9
API Design,5 - service and sales workers,2,1
API Gateway,1 - managers,21,26
API Gateway,2 - professionals,289,432
API Gateway,3 - technicians and associate professionals,9,11
API Gateway,4 - clerical support workers,2,5
API Gateway,5 - service and sales workers,1,3
API Gateway,7 - craft and related trades workers,3,2
API Gateway,8 - plant and machine operators and assemblers,3,0
API Management,1 - managers,29,41
API Management,2 - professionals,161,293
API Management,3 - technicians and associate professionals,8,20
API Management,4 - clerical support workers,4,4
API Management,5 - service and sales workers,5,1
API Management,8 - plant and machine operators and assemblers,1,0
API Oil-Water Separator,2 - professionals,3,0
API Testing,1 - managers,6,22
API Testing,2 - professionals,195,356
API Testing,3 - technicians and associate professionals,6,28
API Testing,4 - clerical support workers,1,5
API Testing,5 - service and sales workers,1,1
API Testing,7 - craft and related trades workers,4,10
API Throttling,2 - professionals,1,24
API Throttling,5 - service and sales workers,1,0
ARCore,2 - professionals,6,6
ARCore,3 - technicians and associate professionals,1,3
ARINC Standards,1 - managers,3,0
ARINC Standards,2 - professionals,18,47
ARINC Standards,3 - technicians and associate professionals,5,3
ARINC Standards,7 - craft and related trades workers,3,4
ARKit,2 - professionals,3,22
ARM Architecture,2 - professionals,8,53
ARP4754,2 - professionals,8,6
ARP4754,3 - technicians and associate professionals,1,1
ARP4754,7 - craft and related trades workers,1,0
ARP4754,8 - plant and machine operators and assemblers,1,0
ARP4761,2 - professionals,1,13
AS2,2 - professionals,4,45
ASAP Methodology,1 - managers,2,2
ASC 606 (Revenue Recognition),1 - managers,5,55
ASC 606 (Revenue Recognition),2 - professionals,10,75
ASC 606 (Revenue Recognition),3 - technicians and associate professionals,1,17
ASC 740 (Accounting For Income Taxes),1 - managers,1,10
ASC 740 (Accounting For Income Taxes),2 - professionals,2,84
ASC 740 (Accounting For Income Taxes),3 - technicians and associate professionals,1,10
ASC 842 (Lease Accounting Standard),2 - professionals,2,25
ASC 842 (Lease Accounting Standard),4 - clerical support workers,1,0
ASC X12 Standards,2 - professionals,6,55
ASP.NET,1 - managers,40,29
ASP.NET,2 - professionals,705,459
ASP.NET,3 - technicians and associate professionals,29,26
ASP.NET,4 - clerical support workers,3,1
ASP.NET,5 - service and sales workers,2,1
ASP.NET,7 - craft and related trades workers,4,3
ASP.NET,8 - plant and machine operators and assemblers,2,21
ASP.NET Core,1 - managers,1,7
ASP.NET Core,2 - professionals,86,124
ASP.NET Core,3 - technicians and associate professionals,2,3
ASP.NET Core,4 - clerical support workers,1,0
ASP.NET Core MVC,1 - managers,9,0
ASP.NET Core MVC,2 - professionals,16,24
ASP.NET Core MVC,3 - technicians and associate professionals,1,0
ASP.NET Extensions For AJAX,1 - managers,3,0
ASP.NET Extensions For AJAX,2 - professionals,12,4
ASP.NET MVC 5,2 - professionals,2,14
ASP.NET MVC Framework,1 - managers,19,22
ASP.NET MVC Framework,2 - professionals,181,167
ASP.NET MVC Framework,3 - technicians and associate professionals,9,0
ASP.NET MVC Framework,4 - clerical support workers,1,0
ASP.NET MVC Framework,5 - service and sales workers,3,0
ASP.NET Razor,2 - professionals,1,2
ASP.NET Web API,1 - managers,2,1
ASP.NET Web API,2 - professionals,25,42
ASTM International Standards,1 - managers,45,26
ASTM International Standards,2 - professionals,304,127
ASTM International Standards,3 - technicians and associate professionals,131,51
ASTM International Standards,4 - clerical support workers,3,0
ASTM International Standards,5 - service and sales workers,2,0
ASTM International Standards,7 - craft and related trades workers,42,23
ASTM International Standards,8 - plant and machine operators and assemblers,5,7
ASTM International Standards,9 - elementary occupations,2,0
AUTomotive Open System Architecture (AUTOSAR),1 - managers,2,3
AUTomotive Open System Architecture (AUTOSAR),2 - professionals,2,41
AUTomotive Open System Architecture (AUTOSAR),5 - service and sales workers,1,0
AVEVA PI (Software),2 - professionals,2,9
AWK (Programming Language),2 - professionals,3,21
AWS Amplify,2 - professionals,1,6
AWS App Mesh,2 - professionals,9,2
AWS Auto Scaling,2 - professionals,1,7
AWS Backup,2 - professionals,2,19
AWS Batch,1 - managers,1,0
AWS CLI (Command Line Interface),2 - professionals,3,44
AWS CLI (Command Line Interface),3 - technicians and associate professionals,2,5
AWS CLI (Command Line Interface),5 - service and sales workers,1,0
AWS Cloud Development Kit (CDK),2 - professionals,43,221
AWS CloudFormation,1 - managers,3,31
AWS CloudFormation,2 - professionals,256,1139
AWS CloudFormation,3 - technicians and associate professionals,18,33
AWS CloudFormation,8 - plant and machine operators and assemblers,1,0
AWS CloudHSM,2 - professionals,2,2
AWS CloudTrail,2 - professionals,2,19
AWS CodeBuild,2 - professionals,9,41
AWS CodeCommit,2 - professionals,8,16
AWS CodeDeploy,2 - professionals,23,42
AWS CodePipeline,2 - professionals,30,121
AWS CodePipeline,7 - craft and related trades workers,1,1
AWS Directory Service,2 - professionals,2,3
AWS Elastic Beanstalk,1 - managers,1,1
AWS Elastic Beanstalk,2 - professionals,60,32
AWS Elastic MapReduce (EMR),1 - managers,1,0
AWS Elastic MapReduce (EMR),2 - professionals,24,64
AWS Fargate,2 - professionals,1,16
AWS Glue,2 - professionals,43,241
AWS Identity And Access Management (IAM),2 - professionals,9,90
AWS Identity And Access Management (IAM),3 - technicians and associate professionals,2,2
AWS Internet Of Things (IoT),1 - managers,2,1
AWS Internet Of Things (IoT),2 - professionals,12,10
AWS Key Management Service (KMS),2 - professionals,4,21
AWS Kinesis,1 - managers,4,20
AWS Kinesis,2 - professionals,103,206
AWS Kinesis,3 - technicians and associate professionals,4,9
AWS Kinesis,5 - service and sales workers,1,1
AWS Lambda,1 - managers,7,6
AWS Lambda,2 - professionals,51,343
AWS Lambda,3 - technicians and associate professionals,1,6
AWS Lambda,4 - clerical support workers,1,5
AWS Lambda,8 - plant and machine operators and assemblers,1,0
AWS Outposts,2 - professionals,1,9
AWS SDK,2 - professionals,3,13
AWS SageMaker,1 - managers,1,16
AWS SageMaker,2 - professionals,72,334
AWS SageMaker,3 - technicians and associate professionals,6,18
AWS SageMaker,4 - clerical support workers,1,1
AWS SageMaker,5 - service and sales workers,1,1
AWS Serverless,1 - managers,2,2
AWS Serverless,2 - professionals,13,69
AWS X-Ray,2 - professionals,2,10
Ab Initio (Software),2 - professionals,64,66
Ab Initio (Software),3 - technicians and associate professionals,23,9
Ab Initio (Software),4 - clerical support workers,2,0
Ab Initio (Software),5 - service and sales workers,3,0
Abaqus,1 - managers,1,0
Abaqus,2 - professionals,132,85
Abaqus,3 - technicians and associate professionals,10,25
Abaqus,7 - craft and related trades workers,6,2
Abaqus,8 - plant and machine operators and assemblers,3,2
Abdomen (Medical),5 - service and sales workers,1,0
Abdominal Surgery,3 - technicians and associate professionals,3,0
Abdominal Trauma,3 - technicians and associate professionals,7,0
Abdominoplasty,1 - managers,1,0
Abdominoplasty,3 - technicians and associate professionals,2,0
Abdominoplasty,5 - service and sales workers,3,0
Ability To Distinguish Colors,2 - professionals,1,49
Ability To Distinguish Colors,7 - craft and related trades workers,1,45
Abiotic Stress Resistance,1 - managers,3,0
Abiotic Stress Resistance,2 - professionals,2,0
Abiotic Stress Resistance,3 - technicians and associate professionals,1,0
Ableton Live,2 - professionals,2,1
Ableton Live,3 - technicians and associate professionals,1,1
Ableton Live,7 - craft and related trades workers,1,0
Abnormal Psychology,2 - professionals,1,75
Abrasion,3 - technicians and associate professionals,1,0
Abrasive Blasting,1 - managers,11,8
Abrasive Blasting,2 - professionals,12,8
Abrasive Blasting,3 - technicians and associate professionals,39,24
Abrasive Blasting,5 - service and sales workers,2,1
Abrasive Blasting,7 - craft and related trades workers,78,72
Abrasive Blasting,8 - plant and machine operators and assemblers,44,14
Abrasive Blasting,9 - elementary occupations,6,12
Abscesses,2 - professionals,6,3
Abscesses,5 - service and sales workers,1,4
Abscesses,7 - craft and related trades workers,1,0
Absorption (Electromagnetic Radiation),2 - professionals,1,1
Absorption Refrigeration,1 - managers,5,3
Absorption Refrigeration,3 - technicians and associate professionals,5,18
Absorption Refrigeration,7 - craft and related trades workers,2,2
Abstract Algebra,2 - professionals,1,0
Abstract Management,1 - managers,3,1
Abstract Management,2 - professionals,9,0
Abstract Management,3 - technicians and associate professionals,10,1
Abstraction Layers,1 - managers,1,0
Abstraction Layers,2 - professionals,9,21
Abstractions,2 - professionals,36,76
Abstractions,3 - technicians and associate professionals,1,8
Abstractions,5 - service and sales workers,1,1
Abvent Artlantis,1 - managers,5,0
Abvent Artlantis,2 - professionals,37,3
Abvent Artlantis,3 - technicians and associate professionals,21,4
Abvent Artlantis,5 - service and sales workers,1,0
Academic Accommodation Plans,1 - managers,8,0
Academic Accommodation Plans,2 - professionals,9,3
Academic Accommodation Plans,3 - technicians and associate professionals,1,3
Academic Accommodation Plans,5 - service and sales workers,3,0
Academic Advising,1 - managers,37,3
Academic Advising,2 - professionals,286,61
Academic Advising,3 - technicians and associate professionals,35,5
Academic Advising,4 - clerical support workers,1,5
Academic Advising,5 - service and sales workers,2,0
Academic Advising,7 - craft and related trades workers,1,0
Academic Affairs,1 - managers,80,10
Academic Affairs,2 - professionals,151,13
Academic Affairs,3 - technicians and associate professionals,16,3
Academic Affairs,5 - service and sales workers,1,0
Academic English,1 - managers,8,0
Academic English,2 - professionals,44,1
Academic English,3 - technicians and associate professionals,15,0
Academic Integrity,1 - managers,12,14
Academic Integrity,2 - professionals,25,30
Academic Integrity,3 - technicians and associate professionals,5,2
Academic Language,2 - professionals,2,0
Academic Libraries,1 - managers,10,0
Academic Libraries,2 - professionals,17,1
Academic Libraries,3 - technicians and associate professionals,2,0
Academic Libraries,4 - clerical support workers,3,0
Academic Papers,1 - managers,2,1
Academic Papers,2 - professionals,27,18
Academic Papers,3 - technicians and associate professionals,2,1
Academic Papers,8 - plant and machine operators and assemblers,2,0
Academic Program Management,2 - professionals,4,1
Academic Record-Keeping,1 - managers,14,4
Academic Record-Keeping,2 - professionals,110,11
Academic Record-Keeping,3 - technicians and associate professionals,35,4
Academic Record-Keeping,4 - clerical support workers,2,1
Academic Record-Keeping,7 - craft and related trades workers,1,1
Academic Standards,1 - managers,195,22
Academic Standards,2 - professionals,615,107
Academic Standards,3 - technicians and associate professionals,37,33
Academic Standards,4 - clerical support workers,3,0
Academic Standards,5 - service and sales workers,16,0
Academic Standards,9 - elementary occupations,2,0
Academic Support Services,1 - managers,6,2
Academic Support Services,2 - professionals,5,7
Academic Support Services,3 - technicians and associate professionals,1,1
Academic Support Services,4 - clerical support workers,1,0
Academic Support Services,5 - service and sales workers,3,0
Academic Writing,1 - managers,7,1
Academic Writing,2 - professionals,86,15
Academic Writing,3 - technicians and associate professionals,10,1
Academic Writing,9 - elementary occupations,1,0
Accelerated Life Testing,2 - professionals,1,18
Accelerated Mobile Pages,2 - professionals,2,5
Accelerated Mobile Pages,7 - craft and related trades workers,1,0
Accelerator Physics,2 - professionals,5,0
Accent Reduction,1 - managers,1,0
Accent Reduction,4 - clerical support workers,1,0
Acceptable Use Policy,1 - managers,18,0
Acceptable Use Policy,2 - professionals,78,2
Acceptable Use Policy,3 - technicians and associate professionals,4,1
Acceptable Use Policy,5 - service and sales workers,7,0
Acceptance Sampling,2 - professionals,90,1
Acceptance Sampling,3 - technicians and associate professionals,102,0
Acceptance Sampling,"6 - skilled agricultural, forestry and fishery workers",1,0
Acceptance Sampling,8 - plant and machine operators and assemblers,3,0
Acceptance Test Procedures,2 - professionals,9,32
Acceptance Test Procedures,3 - technicians and associate professionals,2,7
Acceptance Test-Driven Development,1 - managers,3,0
Acceptance Test-Driven Development,2 - professionals,19,58
Acceptance Test-Driven Development,3 - technicians and associate professionals,4,4
Acceptance Testing,1 - managers,199,158
Acceptance Testing,2 - professionals,743,929
Acceptance Testing,3 - technicians and associate professionals,100,110
Acceptance Testing,4 - clerical support workers,39,13
Acceptance Testing,5 - service and sales workers,14,10
Acceptance Testing,7 - craft and related trades workers,25,22
Acceptance Testing,8 - plant and machine operators and assemblers,3,3
Acceptance Testing,9 - elementary occupations,4,0
Access Control List,1 - managers,1,8
Access Control List,2 - professionals,114,103
Access Control List,3 - technicians and associate professionals,10,8
Access Control List,5 - service and sales workers,2,5
Access Control Matrix,1 - managers,1,1
Access Control Matrix,2 - professionals,3,0
Access Control Matrix,3 - technicians and associate professionals,2,1
Access Controls,1 - managers,269,154
Access Controls,2 - professionals,686,1034
Access Controls,3 - technicians and associate professionals,261,172
Access Controls,4 - clerical support workers,11,15
Access Controls,5 - service and sales workers,245,142
Access Controls,7 - craft and related trades workers,129,77
Access Controls,8 - plant and machine operators and assemblers,15,6
Access Controls,9 - elementary occupations,1,1
Access Modifiers,2 - professionals,1,7
Access Network,1 - managers,40,26
Access Network,2 - professionals,88,152
Access Network,3 - technicians and associate professionals,35,42
Access Network,4 - clerical support workers,3,2
Access Network,5 - service and sales workers,2,2
Access Network,7 - craft and related trades workers,4,3
Access Query Languages,2 - professionals,2,1
Access Rules,2 - professionals,3,7
Access Rules,3 - technicians and associate professionals,2,0
Accident Analysis,1 - managers,73,7
Accident Analysis,2 - professionals,148,15
Accident Analysis,3 - technicians and associate professionals,117,38
Accident Analysis,4 - clerical support workers,1,1
Accident Analysis,5 - service and sales workers,5,1
Accident Analysis,7 - craft and related trades workers,1,1
Accident Analysis,8 - plant and machine operators and assemblers,8,0
Accident Analysis,9 - elementary occupations,2,1
Accident Prevention,1 - managers,115,41
Accident Prevention,2 - professionals,80,55
Accident Prevention,3 - technicians and associate professionals,112,11
Accident Prevention,4 - clerical support workers,42,4
Accident Prevention,5 - service and sales workers,28,0
Accident Prevention,7 - craft and related trades workers,31,7
Accident Prevention,8 - plant and machine operators and assemblers,4,0
Accident Prevention,9 - elementary occupations,53,0
Accident Reporting,1 - managers,92,26
Accident Reporting,2 - professionals,144,49
Accident Reporting,3 - technicians and associate professionals,69,35
Accident Reporting,4 - clerical support workers,24,5
Accident Reporting,5 - service and sales workers,48,12
Accident Reporting,7 - craft and related trades workers,8,10
Accident Reporting,8 - plant and machine operators and assemblers,22,3
Accident Reporting,9 - elementary occupations,1,2
Account Adjustments,1 - managers,1,5
Account Adjustments,2 - professionals,12,13
Account Adjustments,3 - technicians and associate professionals,8,14
Account Adjustments,4 - clerical support workers,5,8
Account Adjustments,5 - service and sales workers,1,0
Account Aggregation,2 - professionals,7,0
Account Analysis,1 - managers,45,343
Account Analysis,2 - professionals,100,81
Account Analysis,3 - technicians and associate professionals,32,54
Account Analysis,4 - clerical support workers,4,10
Account Analysis,7 - craft and related trades workers,3,0
Account Closures,1 - managers,28,13
Account Closures,2 - professionals,99,24
Account Closures,3 - technicians and associate professionals,29,13
Account Closures,4 - clerical support workers,12,3
Account Development,1 - managers,272,158
Account Development,2 - professionals,131,54
Account Development,3 - technicians and associate professionals,72,20
Account Development,4 - clerical support workers,13,0
Account Development,5 - service and sales workers,11,0
Account Growth,1 - managers,145,183
Account Growth,2 - professionals,137,192
Account Growth,3 - technicians and associate professionals,55,75
Account Growth,4 - clerical support workers,7,11
Account Growth,5 - service and sales workers,12,5
Account Growth,7 - craft and related trades workers,1,0
Account Growth,8 - plant and machine operators and assemblers,1,1
Account Management,1 - managers,3604,2268
Account Management,2 - professionals,2735,3001
Account Management,3 - technicians and associate professionals,1275,1360
Account Management,4 - clerical support workers,156,226
Account Management,5 - service and sales workers,187,117
Account Management,"6 - skilled agricultural, forestry and fishery workers",7,42
Account Management,7 - craft and related trades workers,41,47
Account Management,8 - plant and machine operators and assemblers,21,21
Account Management,9 - elementary occupations,13,7
Account Planning,1 - managers,369,226
Account Planning,2 - professionals,443,204
Account Planning,3 - technicians and associate professionals,166,84
Account Planning,4 - clerical support workers,22,7
Account Planning,5 - service and sales workers,19,1
Account Planning,8 - plant and machine operators and assemblers,11,0
Account Reconciliation,1 - managers,271,319
Account Reconciliation,2 - professionals,845,992
Account Reconciliation,3 - technicians and associate professionals,227,559
Account Reconciliation,4 - clerical support workers,81,277
Account Reconciliation,5 - service and sales workers,9,79
Account Reconciliation,7 - craft and related trades workers,3,3
Account Reconciliation,8 - plant and machine operators and assemblers,2,0
Account Reconciliation,9 - elementary occupations,2,1
Account Strategy,1 - managers,411,302
Account Strategy,2 - professionals,350,153
Account Strategy,3 - technicians and associate professionals,162,58
Account Strategy,4 - clerical support workers,17,13
Account Strategy,5 - service and sales workers,41,9
Account Strategy,7 - craft and related trades workers,2,0
Account-Based Marketing,1 - managers,99,125
Account-Based Marketing,2 - professionals,44,34
Account-Based Marketing,3 - technicians and associate professionals,11,21
Account-Based Marketing,5 - service and sales workers,4,3
Accounting,1 - managers,12032,3520
Accounting,2 - professionals,33414,7707
Accounting,3 - technicians and associate professionals,9628,4072
Accounting,4 - clerical support workers,3570,1695
Accounting,5 - service and sales workers,2329,1013
Accounting,"6 - skilled agricultural, forestry and fishery workers",8,4
Accounting,7 - craft and related trades workers,248,71
Accounting,8 - plant and machine operators and assemblers,170,19
Accounting,9 - elementary occupations,144,36
Accounting Analysis,1 - managers,11,7
Accounting Analysis,2 - professionals,16,14
Accounting Analysis,3 - technicians and associate professionals,2,5
Accounting Analysis,5 - service and sales workers,1,1
Accounting Cycle,1 - managers,23,13
Accounting Cycle,2 - professionals,120,23
Accounting Cycle,3 - technicians and associate professionals,11,16
Accounting For Income Taxes,2 - professionals,2,40
Accounting For Income Taxes,3 - technicians and associate professionals,2,2
Accounting Information Systems,1 - managers,96,32
Accounting Information Systems,2 - professionals,216,101
Accounting Information Systems,3 - technicians and associate professionals,42,25
Accounting Information Systems,4 - clerical support workers,15,2
Accounting Information Systems,5 - service and sales workers,8,5
Accounting Machines,1 - managers,5,4
Accounting Machines,2 - professionals,24,9
Accounting Machines,3 - technicians and associate professionals,7,6
Accounting Machines,9 - elementary occupations,2,0
Accounting Management,1 - managers,59,33
Accounting Management,2 - professionals,77,43
Accounting Management,3 - technicians and associate professionals,31,6
Accounting Management,4 - clerical support workers,5,0
Accounting Methods,1 - managers,52,10
Accounting Methods,2 - professionals,54,22
Accounting Methods,3 - technicians and associate professionals,36,4
Accounting Methods,4 - clerical support workers,2,2
Accounting Records,1 - managers,223,43
Accounting Records,2 - professionals,822,110
