Job Title,Algeria Count,Standardized Percentage Algeria,Bahrain Count,Standardized Percentage Bahrain,Djibouti Count,Standardized Percentage Djibouti,Egypt Count,Standardized Percentage Egypt,Iraq Count,Standardized Percentage Iraq,Jordan Count,Standardized Percentage Jordan,Kuwait Count,Standardized Percentage Kuwait,Lebanon Count,Standardized Percentage Lebanon,Libya Count,Standardized Percentage Libya,Mauritania Count,Standardized Percentage Mauritania,Morocco Count,Standardized Percentage Morocco,Oman Count,Standardized Percentage Oman,Palestine Count,Standardized Percentage Palestine,Qatar Count,Standardized Percentage Qatar,Saudi Arabia Count,Standardized Percentage Saudi Arabia,Somalia Count,Standardized Percentage Somalia,Sudan Count,Standardized Percentage Sudan,Syria Count,Standardized Percentage Syria,Tunisia Count,Standardized Percentage Tunisia,United Arab Emirates Count,Standardized Percentage United Arab Emirates,Yemen Count,Standardized Percentage Yemen,US Count,Standardized Percentage US
product quality controller,43,0.10555515,42,0.04169893,,,324,0.09154922,37,0.07185722,26,0.03046209,245,0.05014409,408,0.26370217,2,0.02560164,,,52,0.06077109,,,1,0.00882924,101,0.03224221,232,0.04198654,5,0.02092838,5,0.03354129,8,0.13046314,76,0.08348804,473,0.04084657,1,0.010005,80,0.02309402
design engineer,42,0.10310038,48,0.04765592,,,1006,0.28425467,36,0.06991513,58,0.06795389,236,0.04830206,89,0.05752327,5,0.0640041,1,0.0907441,135,0.1577711,,,1,0.00882924,462,0.14748415,1034,0.18712968,9,0.03767109,4,0.02683303,7,0.11415525,70,0.07689688,1164,0.10051883,6,0.06003002,545,0.15732802
spa manager,42,0.10310038,144,0.14296777,,,126,0.03560247,14,0.02718922,118,0.13825101,238,0.0487114,64,0.04136505,2,0.02560164,2,0.1814882,127,0.1484217,,,4,0.03531697,439,0.14014187,327,0.05917931,1,0.00418568,3,0.02012477,9,0.14677104,61,0.06701014,793,0.06848061,8,0.08004002,98,0.02829018
ICT consultant,42,0.10310038,151,0.14991759,,,619,0.17490421,49,0.09516226,173,0.20269004,368,0.07531847,268,0.17321613,6,0.07680492,1,0.0907441,305,0.35644583,,,11,0.09712167,501,0.15993411,927,0.16776519,20,0.08371353,62,0.41591199,10,0.16307893,296,0.32516396,1275,0.11010439,23,0.23011506,479,0.13827545
mechatronics engineer,42,0.10310038,14,0.01389964,,,316,0.08928874,6,0.01165252,22,0.02577561,57,0.01166618,26,0.01680455,,,1,0.0907441,77,0.08998796,,,,,183,0.05841905,366,0.06623739,11,0.04604244,1,0.00670826,1,0.01630789,21,0.02306906,719,0.06209024,1,0.010005,147,0.04243526
mechanical engineer,41,0.1006456,207,0.20551617,,,2328,0.65779807,164,0.31850226,138,0.16168338,1339,0.27405279,858,0.55455016,16,0.20481311,6,0.54446461,45,0.05259037,,,29,0.25604803,2540,0.8108436,4496,0.81367024,63,0.26369763,21,0.14087342,51,0.83170254,90,0.09886742,6099,0.52668758,16,0.16008004,1229,0.35478191
chemist,41,0.1006456,8,0.00794265,,,194,0.05481651,14,0.02718922,93,0.10896054,703,0.14388283,81,0.05235264,,,,,123,0.14374701,,,,,454,0.14493031,699,0.12650256,5,0.02092838,5,0.03354129,6,0.09784736,16,0.01757643,1600,0.13817021,3,0.03001501,23,0.00663953
retail department manager,41,0.1006456,113,0.11218999,,,405,0.11443652,32,0.06214678,47,0.05506608,460,0.09414808,295,0.19066701,4,0.05120328,,,36,0.04207229,,,1,0.00882924,307,0.09800354,565,0.10225171,23,0.09627056,8,0.05366606,11,0.17938682,33,0.03625139,1838,0.15872303,4,0.04002001,950,0.27424151
perfume production machine operator,41,0.1006456,1,0.00099283,,,10,0.00282559,,,27,0.03163371,7,0.00143269,4,0.00258532,2,0.02560164,,,43,0.05025302,,,,,,,3,0.00054293,8,0.03348541,1,0.00670826,,,14,0.01537938,27,0.00233162,3,0.03001501,1,0.00028868
telecommunications manager,41,0.1006456,25,0.02482079,,,201,0.05679442,9,0.01747878,84,0.09841597,178,0.03643121,24,0.01551189,5,0.0640041,1,0.0907441,205,0.23957834,,,,,198,0.06320749,301,0.05447392,13,0.0544138,7,0.04695781,1,0.01630789,29,0.03185728,496,0.04283277,1,0.010005,176,0.05080685
import export specialist,40,0.09819083,26,0.02581363,,,704,0.19892175,11,0.02136296,33,0.03866342,37,0.00757278,106,0.06851086,1,0.01280082,,,37,0.04324097,,,,,21,0.00670383,61,0.01103957,5,0.02092838,5,0.03354129,13,0.21200261,68,0.07469983,356,0.03074287,2,0.02001001,62,0.01789787
telecommunications engineer,40,0.09819083,23,0.02283513,,,322,0.0909841,31,0.0602047,62,0.07264036,343,0.07020172,40,0.02585315,7,0.08960573,,,147,0.1717952,,,1,0.00882924,373,0.1190727,608,0.1100337,11,0.04604244,11,0.07379084,3,0.04892368,26,0.0285617,559,0.04827322,6,0.06003002,177,0.05109552
web content manager,40,0.09819083,59,0.05857707,,,702,0.19835664,22,0.04272591,75,0.0878714,146,0.02988178,262,0.16933816,2,0.02560164,,,75,0.08765061,,,1,0.00882924,211,0.06735748,294,0.05320708,12,0.05022812,9,0.06037432,8,0.13046314,98,0.10765563,764,0.06597628,1,0.010005,146,0.04214659
quality engineering technician,40,0.09819083,39,0.03872044,,,417,0.11782723,50,0.09710435,65,0.07615522,231,0.04727871,84,0.05429162,1,0.01280082,,,151,0.1764699,,,5,0.04414621,193,0.06161134,507,0.09175507,18,0.07534218,18,0.12074864,9,0.14677104,372,0.408652,398,0.03436984,15,0.15007504,400,0.11547011
business consultant,40,0.09819083,111,0.11020432,,,504,0.14240989,25,0.04855217,211,0.24721155,233,0.04768805,220,0.14219235,1,0.01280082,1,0.0907441,256,0.29918076,,,10,0.08829242,398,0.12705345,1103,0.19961705,19,0.07952786,39,0.26162206,7,0.11415525,190,0.20872011,1611,0.13912013,20,0.20010005,646,0.18648422
credit analyst,40,0.09819083,25,0.02482079,,,106,0.02995129,2,0.00388417,13,0.01523104,20,0.00409339,8,0.00517063,,,,,112,0.13089158,,,,,70,0.02234608,121,0.02189815,4,0.01674271,4,0.02683303,,,14,0.01537938,219,0.01891205,,,186,0.0536936
meat and products distribution manager,40,0.09819083,22,0.0218423,,,75,0.02119195,7,0.01359461,16,0.0187459,103,0.02108098,7,0.0045243,4,0.05120328,,,20,0.0233735,,,,,12,0.00383076,74,0.01339226,8,0.03348541,3,0.02012477,,,29,0.03185728,189,0.01632136,,,48,0.01385641
consumer goods inspector,39,0.09573606,4,0.00397133,,,14,0.00395583,2,0.00388417,21,0.02460399,32,0.00654943,22,0.01421923,,,1,0.0907441,78,0.09115664,,,,,58,0.01851533,87,0.01574495,7,0.02929974,,,,,15,0.0164779,236,0.02038011,1,0.010005,8,0.0023094
contract engineer,39,0.09573606,87,0.08637636,,,1789,0.5054986,143,0.27771844,129,0.15113881,509,0.1041769,135,0.0872544,10,0.12800819,,,99,0.11569881,,,1,0.00882924,686,0.21899162,1079,0.19527362,17,0.0711565,7,0.04695781,13,0.21200261,45,0.04943371,1656,0.14300617,5,0.05002501,345,0.09959297
commercial pilot,39,0.09573606,,,,,1,0.00028256,,,3,0.00351486,,,2,0.00129266,,,,,16,0.0186988,,,,,2,0.00063846,16,0.00289562,1,0.00418568,,,,,4,0.00439411,16,0.0013817,,,,
sales assistant,39,0.09573606,807,0.80121523,,,1054,0.29781751,66,0.12817774,270,0.31633705,5339,1.09273177,1973,1.27520683,22,0.28161802,,,294,0.3435904,,,21,0.18541409,1247,0.39807951,1458,0.2638637,103,0.43112469,14,0.09391561,22,0.35877365,348,0.38228735,7816,0.67496149,26,0.26013007,1678,0.4843971
auctioneer,39,0.09573606,7,0.00694982,,,33,0.00932446,1,0.00194209,49,0.05740932,10,0.0020467,29,0.01874354,,,,,35,0.04090362,,,1,0.00882924,15,0.00478845,43,0.00778199,5,0.02092838,,,,,37,0.04064549,71,0.0061313,1,0.010005,25,0.00721688
restaurant host/restaurant hostess,39,0.09573606,211,0.2094875,,,113,0.0319292,14,0.02718922,140,0.16402662,1422,0.29104038,293,0.18937435,2,0.02560164,,,81,0.09466266,,,,,464,0.14812261,324,0.05863638,22,0.09208489,3,0.02012477,2,0.03261579,11,0.0120838,2071,0.17884407,1,0.010005,60,0.01732052
language engineer,39,0.09573606,28,0.02779929,,,173,0.04888276,33,0.06408887,48,0.0562377,78,0.01596424,30,0.01938987,7,0.08960573,,,132,0.15426508,,,2,0.01765848,63,0.02011148,99,0.01791667,12,0.05022812,1,0.00670826,2,0.03261579,91,0.09996595,196,0.01692585,6,0.06003002,252,0.07274617
accounting analyst,39,0.09573606,139,0.13800361,,,1110,0.31364083,43,0.08350974,124,0.14528072,676,0.13835675,298,0.192606,12,0.15360983,2,0.1814882,117,0.13673496,,,12,0.10595091,296,0.09449201,897,0.1623359,14,0.05859947,17,0.11404038,6,0.09784736,156,0.17137019,1808,0.15613234,19,0.19009505,814,0.23498167
secretary,39,0.09573606,538,0.53414348,,,1739,0.49137064,64,0.12429357,204,0.23901022,4631,0.94782559,877,0.5668304,28,0.35842294,2,0.1814882,70,0.08180724,,,2,0.01765848,1800,0.57461357,1398,0.25300511,54,0.22602654,26,0.1744147,15,0.2446184,158,0.17356725,5496,0.47461468,20,0.20010005,27,0.00779423
accounting assistant,39,0.09573606,348,0.34550545,,,1546,0.43683669,181,0.35151774,377,0.44170025,1926,0.39419393,826,0.53386763,21,0.2688172,3,0.2722323,110,0.12855423,,,68,0.60038849,586,0.18706864,831,0.15039145,151,0.63203717,137,0.91903133,23,0.37508154,939,1.03151674,5435,0.46934694,113,1.13056528,1462,0.42204324
call centre supervisor,39,0.09573606,65,0.06453406,,,834,0.23565446,78,0.15148278,79,0.09255788,380,0.0777745,139,0.08983971,7,0.08960573,,,147,0.1717952,,,2,0.01765848,287,0.09161894,473,0.08560187,23,0.09627056,13,0.08720735,10,0.16307893,136,0.14939966,1301,0.11234965,3,0.03001501,263,0.0759216
monitoring and evaluation officer,38,0.09328129,24,0.02382796,,,330,0.09324457,401,0.77877687,719,0.84239385,109,0.022309,213,0.13766805,51,0.65284178,4,0.36297641,85,0.09933736,,,97,0.85643652,137,0.04373448,322,0.05827443,246,1.02967645,241,1.61669015,11,0.17938682,175,0.1922422,425,0.03670146,167,1.67083542,154,0.04445599
health and safety engineer,38,0.09328129,76,0.07545521,,,674,0.19044497,88,0.17090365,53,0.06209579,766,0.15677702,26,0.01680455,8,0.10240655,2,0.1814882,66,0.07713254,,,4,0.03531697,794,0.25346843,1983,0.35887635,19,0.07952786,10,0.06708258,14,0.2283105,103,0.11314827,2379,0.20544183,21,0.21010505,310,0.08948933
corporate training manager,38,0.09328129,145,0.1439606,,,859,0.24271845,122,0.23693461,152,0.17808604,394,0.08063988,168,0.10858325,18,0.23041475,1,0.0907441,109,0.12738556,,,13,0.11478015,549,0.17525714,1396,0.25264316,37,0.15487003,34,0.22808077,9,0.14677104,198,0.21750832,1784,0.15405979,9,0.09004502,1220,0.35218383
modern languages lecturer,38,0.09328129,5,0.00496416,,,69,0.01949659,3,0.00582626,57,0.06678227,4,0.00081868,21,0.01357291,,,,,164,0.19166267,,,,,5,0.00159615,27,0.00488636,11,0.04604244,,,,,34,0.03734991,43,0.00371332,,,6,0.00173205
purchasing manager,38,0.09328129,247,0.24522944,,,1707,0.48232874,23,0.044668,96,0.1124754,825,0.16885254,533,0.34449328,4,0.05120328,,,87,0.10167471,,,11,0.09712167,516,0.16472256,1307,0.23653626,20,0.08371353,27,0.18112296,32,0.52185258,119,0.1307247,1986,0.17150378,6,0.06003002,186,0.0536936
performance lighting director,38,0.09328129,,,,,9,0.00254303,1,0.00194209,4,0.00468647,18,0.00368406,1,0.00064633,,,,,11,0.01285542,,,,,11,0.00351153,6,0.00108586,,,,,,,3,0.00329558,18,0.00155441,2,0.02001001,11,0.00317543
gas transmission system operator,38,0.09328129,1,0.00099283,,,9,0.00254303,17,0.03301548,22,0.02577561,7,0.00143269,2,0.00129266,7,0.08960573,,,57,0.06661447,,,,,8,0.00255384,28,0.00506734,9,0.03767109,,,,,18,0.01977348,8,0.00069085,,,1,0.00028868
education programme coordinator,38,0.09328129,61,0.06056274,,,365,0.10313415,205,0.39812783,302,0.35382885,238,0.0487114,175,0.11310755,30,0.38402458,6,0.54446461,73,0.08531326,,,34,0.30019424,260,0.08299974,776,0.14043775,144,0.60273743,95,0.6372845,8,0.13046314,81,0.08898068,1004,0.08670181,89,0.89044522,265,0.07649895
inventory coordinator,38,0.09328129,242,0.24026528,,,451,0.12743425,54,0.1048727,86,0.10075921,1504,0.3078233,534,0.34513961,3,0.03840246,,,61,0.07128917,,,4,0.03531697,436,0.13918418,1008,0.18242429,28,0.11719895,21,0.14087342,8,0.13046314,133,0.14610407,2671,0.2306579,9,0.09004502,521,0.15039982
electromechanical engineer,38,0.09328129,19,0.0188638,,,487,0.13760638,21,0.04078383,30,0.03514856,201,0.04113862,213,0.13766805,3,0.03840246,,,25,0.02921687,,,1,0.00882924,104,0.0331999,317,0.05736954,16,0.06697083,4,0.02683303,16,0.26092629,49,0.05382782,407,0.03514705,3,0.03001501,126,0.03637308
financial markets back office administrator,37,0.09082652,26,0.02581363,,,200,0.05651186,1,0.00194209,17,0.01991752,57,0.01166618,35,0.02262151,1,0.01280082,,,30,0.03506025,,,1,0.00882924,59,0.01883456,96,0.01737374,10,0.04185677,2,0.01341652,2,0.03261579,24,0.02636465,283,0.02443886,3,0.03001501,148,0.04272394
project support officer,37,0.09082652,93,0.09233335,,,528,0.14919132,298,0.57874192,461,0.54011622,272,0.05567017,182,0.11763185,30,0.38402458,4,0.36297641,235,0.27463859,,,63,0.55624227,462,0.14748415,1010,0.18278624,182,0.76179314,174,1.16723687,9,0.14677104,186,0.204326,975,0.08419747,137,1.37068534,516,0.14895644
healthcare specialist lecturer,37,0.09082652,52,0.05162725,,,93,0.02627802,31,0.0602047,48,0.0562377,313,0.06406163,28,0.01809721,4,0.05120328,,,30,0.03506025,,,2,0.01765848,150,0.04788446,636,0.11510104,10,0.04185677,8,0.05366606,3,0.04892368,5,0.00549263,1080,0.09326489,11,0.11005503,332,0.09584019
video and motion picture editor,37,0.09082652,34,0.03375628,,,427,0.12065283,14,0.02718922,54,0.06326741,128,0.02619773,345,0.22298345,8,0.10240655,,,40,0.04674699,,,3,0.02648773,88,0.02809222,67,0.01212542,6,0.02511406,7,0.04695781,1,0.01630789,41,0.0450396,463,0.03998301,2,0.02001001,79,0.02280535
metal products assembler,37,0.09082652,100,0.09928318,,,54,0.0152582,17,0.03301548,36,0.04217827,537,0.10990765,3,0.00193899,3,0.03840246,,,60,0.07012049,,,1,0.00882924,170,0.05426906,278,0.05031146,17,0.0711565,,,2,0.03261579,29,0.03185728,573,0.04948221,3,0.03001501,60,0.01732052
engineering assistant,37,0.09082652,63,0.0625484,,,453,0.12799937,86,0.16701948,80,0.0937295,306,0.06262894,60,0.03877973,13,0.16641065,2,0.1814882,82,0.09583134,,,6,0.05297545,635,0.2027109,914,0.1654125,51,0.21346951,18,0.12074864,11,0.17938682,57,0.06261603,1653,0.1427471,61,0.61030515,387,0.11171733
gas distribution engineer,37,0.09082652,13,0.01290681,,,19,0.00536863,10,0.01942087,2,0.00234324,16,0.00327472,1,0.00064633,,,,,15,0.01753012,,,,,85,0.02713453,80,0.01447812,,,,,1,0.01630789,6,0.00659116,70,0.00604495,2,0.02001001,21,0.00606218
network marketer,37,0.09082652,13,0.01290681,,,82,0.02316986,4,0.00776835,15,0.01757428,39,0.00798212,23,0.01486556,2,0.02560164,,,42,0.04908434,,,1,0.00882924,43,0.01372688,54,0.00977273,7,0.02929974,7,0.04695781,1,0.01630789,104,0.1142468,172,0.0148533,4,0.04002001,80,0.02309402
motor vehicles specialised seller,36,0.08837175,37,0.03673477,,,81,0.0228873,16,0.03107339,67,0.07849845,413,0.0845286,114,0.07368149,3,0.03840246,,,77,0.08998796,,,,,103,0.03288067,163,0.02949917,17,0.0711565,4,0.02683303,1,0.01630789,99,0.10875416,544,0.04697787,1,0.010005,33,0.00952628
facilities manager,36,0.08837175,203,0.20154485,,,727,0.20542062,98,0.19032452,109,0.12770644,479,0.09803681,212,0.13702172,9,0.11520737,,,102,0.11920483,,,5,0.04414621,856,0.27326068,1541,0.27888475,57,0.23858357,68,0.45616153,14,0.2283105,69,0.07579835,2097,0.18108933,18,0.18009005,781,0.22545539
business intelligence manager,36,0.08837175,55,0.05460575,,,675,0.19072753,32,0.06214678,113,0.13239291,183,0.03745456,120,0.07755946,1,0.01280082,,,160,0.18698797,,,7,0.0618047,429,0.13694957,861,0.15582075,14,0.05859947,27,0.18112296,13,0.21200261,122,0.13402028,1302,0.11243601,4,0.04002001,650,0.18763892
sporting accessories specialised seller,36,0.08837175,16,0.01588531,,,20,0.00565119,3,0.00582626,12,0.01405942,305,0.06242427,82,0.05299897,1,0.01280082,,,30,0.03506025,,,,,27,0.0086192,36,0.00651515,14,0.05859947,2,0.01341652,,,42,0.04613813,91,0.00785843,,,29,0.00837158
construction general supervisor,36,0.08837175,101,0.10027601,,,265,0.07487822,204,0.39618574,38,0.04452151,498,0.10192553,30,0.01938987,9,0.11520737,,,65,0.07596386,,,3,0.02648773,643,0.20526474,1044,0.18893944,32,0.13394165,19,0.1274569,3,0.04892368,12,0.01318232,1049,0.09058785,13,0.13006503,339,0.09786092
supply chain assistant,36,0.08837175,31,0.03077778,,,532,0.15032155,142,0.27577635,139,0.162855,285,0.05833088,212,0.13702172,14,0.17921147,2,0.1814882,135,0.1577711,,,19,0.16775561,169,0.05394983,364,0.06587544,70,0.29299736,109,0.73120011,7,0.11415525,59,0.06481309,628,0.05423181,66,0.66033017,203,0.05860108
ICT project manager,36,0.08837175,124,0.12311114,,,384,0.10850277,23,0.044668,78,0.09138626,299,0.06119625,102,0.06592554,4,0.05120328,,,99,0.11569881,,,5,0.04414621,399,0.12737268,752,0.13609431,18,0.07534218,32,0.21466425,12,0.19569472,87,0.09557184,1003,0.08661545,6,0.06003002,466,0.13452268
specialist biomedical scientist,36,0.08837175,13,0.01290681,,,84,0.02373498,19,0.03689965,15,0.01757428,52,0.01064283,21,0.01357291,7,0.08960573,,,44,0.05142169,,,3,0.02648773,85,0.02713453,312,0.05646466,2,0.00837135,1,0.00670826,3,0.04892368,19,0.02087201,589,0.05086391,3,0.03001501,167,0.04820877
ICT network engineer,35,0.08591698,203,0.20154485,,,749,0.21163692,83,0.16119322,107,0.1253632,491,0.10049284,174,0.11246122,7,0.08960573,2,0.1814882,66,0.07713254,,,12,0.10595091,413,0.13184189,820,0.14840071,29,0.12138462,17,0.11404038,5,0.08153947,129,0.14170997,1280,0.11053617,16,0.16008004,1361,0.39288704
further education principal,35,0.08591698,3,0.0029785,,,15,0.00423839,2,0.00388417,6,0.00702971,26,0.00532141,11,0.00710962,,,,,19,0.02220482,,,,,11,0.00351153,36,0.00651515,6,0.02511406,,,1,0.01630789,1,0.00109853,84,0.00725394,1,0.010005,34,0.00981496
election agent,35,0.08591698,33,0.03276345,,,26,0.00734654,31,0.0602047,30,0.03514856,74,0.01514556,4,0.00258532,11,0.14080901,,,20,0.0233735,,,,,8,0.00255384,37,0.00669613,12,0.05022812,2,0.01341652,,,33,0.03625139,82,0.00708122,,,19,0.00548483
financial trader,35,0.08591698,79,0.07843371,,,131,0.03701527,31,0.0602047,49,0.05740932,119,0.0243557,34,0.02197518,7,0.08960573,2,0.1814882,54,0.06310844,,,1,0.00882924,100,0.03192298,179,0.03239479,22,0.09208489,8,0.05366606,,,39,0.04284255,749,0.06468093,16,0.16008004,80,0.02309402
strategic planning manager,35,0.08591698,106,0.10524017,,,646,0.18253331,82,0.15925113,156,0.18277252,258,0.05280479,119,0.07691313,11,0.14080901,1,0.0907441,157,0.18348195,,,1,0.00882924,727,0.23208004,2888,0.52266006,33,0.13812733,34,0.22808077,21,0.34246575,139,0.15269524,2477,0.21390476,5,0.05002501,776,0.22401201
pastry chef,34,0.08346221,530,0.52620083,,,79,0.02232219,13,0.02524713,107,0.1253632,2010,0.41138619,353,0.22815408,1,0.01280082,,,89,0.10401206,,,,,660,0.21069164,1254,0.2269445,33,0.13812733,,,15,0.2446184,41,0.0450396,2132,0.18411181,2,0.02001001,54,0.01558846
advertising copywriter,34,0.08346221,76,0.07545521,,,764,0.21587531,22,0.04272591,122,0.14293748,177,0.03622654,448,0.28955533,5,0.0640041,1,0.0907441,63,0.07362651,,,2,0.01765848,141,0.0450114,513,0.09284093,9,0.03767109,17,0.11404038,12,0.19569472,44,0.04833518,1295,0.11183152,8,0.08004002,282,0.08140643
search engine optimisation expert,34,0.08346221,74,0.07346955,,,696,0.19666128,25,0.04855217,79,0.09255788,51,0.01043816,203,0.13120476,4,0.05120328,,,79,0.09232531,,,2,0.01765848,60,0.01915379,134,0.02425085,20,0.08371353,7,0.04695781,5,0.08153947,192,0.21091716,849,0.07331657,6,0.06003002,260,0.07505557
software manager,34,0.08346221,98,0.09729751,,,398,0.11245861,14,0.02718922,107,0.1253632,113,0.02312768,128,0.08273009,1,0.01280082,,,112,0.13089158,,,2,0.01765848,126,0.04022295,309,0.05592173,12,0.05022812,9,0.06037432,1,0.01630789,156,0.17137019,490,0.04231463,6,0.06003002,755,0.21794983
ICT business development manager,34,0.08346221,233,0.2313298,,,536,0.15145179,36,0.06991513,115,0.13473615,412,0.08432393,195,0.12603413,7,0.08960573,1,0.0907441,104,0.12154218,,,8,0.07063394,519,0.16568025,1573,0.284676,18,0.07534218,9,0.06037432,33,0.53816047,64,0.07030572,3788,0.32711798,5,0.05002501,370,0.10680985
ICT security technician,34,0.08346221,72,0.07148389,,,179,0.05057812,34,0.06603096,78,0.09138626,169,0.03458919,150,0.09694933,1,0.01280082,,,51,0.05960242,,,3,0.02648773,242,0.0772536,409,0.07401938,12,0.05022812,5,0.03354129,2,0.03261579,30,0.03295581,317,0.02737497,1,0.010005,441,0.12730579
import export manager,33,0.08100744,10,0.00992832,,,355,0.10030855,,,16,0.0187459,40,0.00818679,92,0.05946225,1,0.01280082,,,58,0.06778314,,,1,0.00882924,35,0.01117304,47,0.00850589,9,0.03767109,5,0.03354129,10,0.16307893,104,0.1142468,310,0.02677048,,,21,0.00606218
electric power generation engineer,33,0.08100744,12,0.01191398,,,232,0.06555376,107,0.20780331,28,0.03280532,125,0.02558372,41,0.02649948,1,0.01280082,,,54,0.06310844,,,,,104,0.0331999,291,0.05266415,7,0.02929974,4,0.02683303,1,0.01630789,44,0.04833518,163,0.01407609,3,0.03001501,218,0.06293121
pipeline engineer,33,0.08100744,26,0.02581363,,,95,0.02684313,221,0.42920122,8,0.00937295,258,0.05280479,3,0.00193899,7,0.08960573,,,3,0.00350602,,,,,1056,0.33710663,1297,0.23472649,19,0.07952786,,,2,0.03261579,12,0.01318232,1815,0.15673683,24,0.24012006,82,0.02367137
procurement support officer,33,0.08100744,105,0.10424733,,,738,0.20852877,110,0.21362957,257,0.30110601,877,0.17949537,676,0.4369183,8,0.10240655,,,59,0.06895182,,,59,0.5209253,816,0.26049149,1305,0.2361743,60,0.2511406,134,0.89890655,16,0.26092629,256,0.28122288,2356,0.20345564,77,0.77038519,309,0.08920066
foreign language correspondence clerk,33,0.08100744,4,0.00397133,,,32,0.0090419,11,0.02136296,175,0.20503327,154,0.03151914,14,0.0090486,,,,,345,0.40319282,,,,,31,0.00989612,25,0.00452441,10,0.04185677,1,0.00670826,,,118,0.12962617,78,0.0067358,4,0.04002001,85,0.0245374
shipping agent,33,0.08100744,9,0.00893549,,,156,0.04407925,5,0.00971043,61,0.07146874,197,0.04031994,122,0.07885212,2,0.02560164,,,54,0.06310844,,,1,0.00882924,100,0.03192298,138,0.02497475,10,0.04185677,1,0.00670826,6,0.09784736,27,0.02966023,548,0.0473233,,,161,0.04647672
specialist nurse,33,0.08100744,430,0.42691765,,,309,0.08731083,66,0.12817774,170,0.19917518,2641,0.5405328,204,0.13185109,29,0.37122376,1,0.0907441,114,0.13322893,,,12,0.10595091,2213,0.70645546,2713,0.49098918,47,0.1967268,28,0.18783122,15,0.2446184,94,0.10326153,5447,0.47038322,108,1.08054027,5238,1.51208106
warehouse manager,32,0.07855267,103,0.10226167,,,1123,0.3173141,174,0.33792313,124,0.14528072,2224,0.45518551,1147,0.74133919,15,0.19201229,3,0.2722323,62,0.07245784,,,11,0.09712167,399,0.12737268,1843,0.33353965,138,0.57762337,77,0.51653586,46,0.75016308,51,0.05602487,5341,0.46122944,25,0.25012506,830,0.23960047
manufacturing engineer,32,0.07855267,17,0.01687814,,,581,0.16416696,26,0.05049426,29,0.03397694,112,0.02292301,64,0.04136505,3,0.03840246,,,93,0.10868676,,,2,0.01765848,205,0.0654421,594,0.10750003,13,0.0544138,4,0.02683303,1,0.01630789,86,0.09447331,507,0.04378269,5,0.05002501,1286,0.3712364
business service manager,32,0.07855267,79,0.07843371,,,463,0.13082496,14,0.02718922,84,0.09841597,127,0.02599306,40,0.02585315,8,0.10240655,,,115,0.13439761,,,1,0.00882924,280,0.08938433,630,0.11401518,24,0.10045624,20,0.13416516,4,0.06523157,97,0.10655711,1125,0.09715093,10,0.10005003,368,0.1062325
process engineer,32,0.07855267,47,0.04666309,,,533,0.15060411,162,0.31461809,50,0.05858094,279,0.05710286,41,0.02649948,8,0.10240655,,,286,0.334241,,,1,0.00882924,959,0.30614134,1673,0.30277365,31,0.12975598,13,0.08720735,8,0.13046314,146,0.16038492,2112,0.18238468,8,0.08004002,868,0.25057013
textile machinery technician,32,0.07855267,,,,,7,0.00197792,,,7,0.00820133,15,0.00307005,,,,,,,15,0.01753012,,,,,1,0.00031923,5,0.00090488,1,0.00418568,,,,,5,0.00549263,1,0.00008636,,,4,0.0011547
fiscal affairs policy officer,32,0.07855267,3,0.0029785,,,28,0.00791166,2,0.00388417,19,0.02226076,3,0.00061401,9,0.00581696,6,0.07680492,4,0.36297641,17,0.01986747,,,7,0.0618047,11,0.00351153,35,0.00633418,16,0.06697083,6,0.04024955,,,11,0.0120838,56,0.00483596,2,0.02001001,66,0.01905257
cost analyst,32,0.07855267,51,0.05063442,,,1572,0.44418323,82,0.15925113,59,0.0691255,402,0.08227724,214,0.13831437,8,0.10240655,,,59,0.06895182,,,,,422,0.13471496,1314,0.23780309,21,0.08789921,18,0.12074864,25,0.40769733,25,0.02746317,1168,0.10086425,2,0.02001001,344,0.09930429
event manager,31,0.0760979,161,0.15984591,,,287,0.08109452,29,0.05632052,99,0.11599025,248,0.0507581,137,0.08854705,,,,,71,0.08297591,,,,,535,0.17078792,616,0.11148151,19,0.07952786,1,0.00670826,12,0.19569472,54,0.05932045,2650,0.22884441,5,0.05002501,429,0.12384169
ICT product manager,31,0.0760979,54,0.05361291,,,164,0.04633973,6,0.01165252,43,0.0503796,198,0.04052461,294,0.19002068,,,,,57,0.06661447,,,2,0.01765848,128,0.04086141,295,0.05338806,3,0.01255703,14,0.09391561,6,0.09784736,51,0.05602487,612,0.05285011,2,0.02001001,302,0.08717993
forge equipment technician,31,0.0760979,2,0.00198566,,,12,0.00339071,19,0.03689965,9,0.01054457,40,0.00818679,7,0.0045243,,,,,68,0.07946989,,,,,18,0.00574614,64,0.01158249,13,0.0544138,1,0.00670826,,,33,0.03625139,53,0.00457689,1,0.010005,43,0.01241304
advertising media buyer,31,0.0760979,47,0.04666309,,,1005,0.28397211,34,0.06603096,71,0.08318493,120,0.02456037,214,0.13831437,7,0.08960573,,,23,0.02687952,,,4,0.03531697,102,0.03256144,193,0.03492846,12,0.05022812,13,0.08720735,5,0.08153947,38,0.04174402,565,0.04879136,1,0.010005,165,0.04763142
