Job Title,Algeria Count,Standardized Percentage Algeria,Bahrain Count,Standardized Percentage Bahrain,Djibouti Count,Standardized Percentage Djibouti,Egypt Count,Standardized Percentage Egypt,Iraq Count,Standardized Percentage Iraq,Jordan Count,Standardized Percentage Jordan,Kuwait Count,Standardized Percentage Kuwait,Lebanon Count,Standardized Percentage Lebanon,Libya Count,Standardized Percentage Libya,Mauritania Count,Standardized Percentage Mauritania,Morocco Count,Standardized Percentage Morocco,Oman Count,Standardized Percentage Oman,Palestine Count,Standardized Percentage Palestine,Qatar Count,Standardized Percentage Qatar,Saudi Arabia Count,Standardized Percentage Saudi Arabia,Somalia Count,Standardized Percentage Somalia,Sudan Count,Standardized Percentage Sudan,Syria Count,Standardized Percentage Syria,Tunisia Count,Standardized Percentage Tunisia,United Arab Emirates Count,Standardized Percentage United Arab Emirates,Yemen Count,Standardized Percentage Yemen,US Count,Standardized Percentage US
specialised doctor,263,0.64560473,126,0.1250968,,,342,0.09663528,56,0.10875687,166,0.19448871,1037,0.21224253,42,0.02714581,16,0.20481311,2,0.1814882,130,0.15192773,,,93,0.82111955,682,0.2177147,1554,0.28123744,39,0.16324139,9,0.06037432,12,0.19569472,121,0.13292175,3944,0.34058957,23,0.23011506,266,0.07678762
actuarial assistant,232,0.56950684,10,0.00992832,,,20,0.00565119,,,356,0.41709626,4,0.00081868,25,0.01615822,,,5,0.45372051,452,0.52824103,,,,,15,0.00478845,29,0.00524832,67,0.28044033,1,0.00670826,1,0.01630789,107,0.11754238,36,0.00310883,4,0.04002001,26,0.00750556
rolling stock inspector,208,0.51059234,,,,,18,0.00508607,4,0.00776835,25,0.02929047,3,0.00061401,18,0.01163392,,,,,32,0.03739759,,,,,15,0.00478845,24,0.00434344,11,0.04604244,1,0.00670826,,,31,0.03405433,31,0.00267705,,,2,0.00057735
health safety and environmental manager,207,0.50813757,67,0.06651973,,,427,0.12065283,168,0.32627061,34,0.03983504,305,0.06242427,19,0.01228025,5,0.0640041,,,106,0.12387953,,,11,0.09712167,687,0.21931085,1675,0.3031356,32,0.13394165,26,0.1744147,17,0.27723418,109,0.11973943,1422,0.12279878,8,0.08004002,144,0.04156924
human resources officer,205,0.50322802,492,0.48847322,,,3641,1.02879844,394,0.76518226,749,0.87754241,2392,0.48957003,1708,1.10392968,22,0.28161802,5,0.45372051,394,0.46045789,,,67,0.59155924,1480,0.47246005,3234,0.58527793,138,0.57762337,260,1.74414705,63,1.02739726,602,0.66131318,7612,0.65734478,65,0.65032516,464,0.13394532
digital marketing manager,203,0.49831848,506,0.50237287,,,3655,1.03275428,125,0.24276087,405,0.47450558,1768,0.36185611,2124,1.37280248,13,0.16641065,1,0.0907441,305,0.35644583,,,60,0.52975455,1015,0.32401821,1509,0.2730935,89,0.37252522,41,0.27503857,53,0.86431833,606,0.66570729,7416,0.64041893,20,0.20010005,651,0.1879276
head chef,201,0.49340894,774,0.76845178,,,375,0.10595974,93,0.18061409,331,0.38780579,1756,0.35940007,891,0.57587901,4,0.05120328,,,474,0.55395187,,,2,0.01765848,1989,0.634948,1948,0.35254218,69,0.28881169,9,0.06037432,22,0.35877365,149,0.1636805,4630,0.39983005,17,0.17008504,218,0.06293121
chemical application specialist,199,0.4884994,17,0.01687814,,,118,0.033342,1,0.00194209,47,0.05506608,42,0.00859613,36,0.02326784,,,,,76,0.08881929,,,,,49,0.01564226,159,0.02877526,11,0.04604244,2,0.01341652,2,0.03261579,23,0.02526612,73,0.00630402,1,0.010005,68,0.01962992
sales account manager,198,0.48604463,451,0.44776712,,,3280,0.92679453,186,0.36122818,277,0.32453838,1386,0.28367227,786,0.50801448,22,0.28161802,,,500,0.58433742,,,12,0.10595091,970,0.30965287,3505,0.63432255,73,0.30555439,61,0.40920373,45,0.73385519,205,0.22519801,6487,0.56019385,7,0.07003502,2543,0.73410121
pharmacy lecturer,197,0.48358986,2,0.00198566,,,55,0.01554076,5,0.00971043,17,0.01991752,1,0.00020467,6,0.00387797,13,0.16641065,,,40,0.04674699,,,,,16,0.00510768,39,0.00705808,1,0.00418568,,,1,0.01630789,7,0.00768969,57,0.00492231,1,0.010005,41,0.01183569
regulatory affairs manager,194,0.47622554,126,0.1250968,,,550,0.15540762,67,0.13011983,150,0.17574281,226,0.04625536,88,0.05687694,5,0.0640041,2,0.1814882,133,0.15543375,,,5,0.04414621,239,0.07629591,981,0.17753792,36,0.15068436,37,0.24820554,12,0.19569472,154,0.16917314,1593,0.13756572,13,0.13006503,608,0.17551456
graphic designer,183,0.44922307,931,0.92432636,,,3783,1.06892187,151,0.29325513,524,0.6139282,3909,0.80005403,4436,2.86711479,43,0.55043523,,,162,0.18932532,,,33,0.291365,2607,0.83223199,3807,0.68897745,83,0.34741116,16,0.10733213,42,0.68493151,860,0.94473311,8548,0.73817436,16,0.16008004,419,0.12095494
gas processing plant supervisor,179,0.43940398,8,0.00794265,,,6,0.00169536,3,0.00582626,42,0.04920799,18,0.00368406,,,2,0.02560164,,,31,0.03622892,,,,,37,0.0118115,67,0.01212542,6,0.02511406,,,,,3,0.00329558,44,0.00379968,1,0.010005,10,0.00288675
human resources manager,179,0.43940398,393,0.39018288,,,3535,0.99884716,242,0.46998505,501,0.58698097,1384,0.28326293,1095,0.70773009,33,0.42242704,5,0.45372051,296,0.34592775,,,27,0.23838955,1176,0.3754142,3872,0.70074092,140,0.58599473,116,0.77815791,74,1.20678408,650,0.71404247,6823,0.5892096,50,0.50025013,1011,0.2918507
consul,178,0.43694921,2,0.00198566,,,4,0.00113024,8,0.0155367,48,0.0562377,2,0.00040934,,,1,0.01280082,,,237,0.27697594,,,,,1,0.00031923,3,0.00054293,10,0.04185677,,,,,20,0.02197054,15,0.00129535,,,4,0.0011547
service manager,170,0.41731104,161,0.15984591,,,747,0.2110718,258,0.50105844,187,0.2190927,624,0.12771392,152,0.09824199,17,0.21761393,4,0.36297641,282,0.3295663,,,5,0.04414621,799,0.25506458,1360,0.24612801,29,0.12138462,36,0.24149728,15,0.2446184,218,0.23947886,2229,0.19248838,9,0.09004502,1211,0.34958575
information manager,170,0.41731104,16,0.01588531,,,59,0.016671,58,0.11264104,118,0.13825101,21,0.00429806,12,0.00775595,4,0.05120328,3,0.2722323,214,0.25009642,,,4,0.03531697,57,0.0181961,147,0.02660354,35,0.14649868,8,0.05366606,3,0.04892368,81,0.08898068,168,0.01450787,16,0.16008004,32,0.00923761
quality engineer,163,0.40012765,156,0.15488175,,,3125,0.88299784,153,0.29713931,436,0.51082576,683,0.13978944,545,0.35224922,4,0.05120328,4,0.36297641,557,0.65095189,,,27,0.23838955,1226,0.39137569,2294,0.41516004,51,0.21346951,47,0.31528812,58,0.9458578,592,0.65032791,3471,0.299743,21,0.21010505,1390,0.40125862
advertising assistant,159,0.39030856,18,0.01787097,,,59,0.016671,10,0.01942087,98,0.11481863,22,0.00450273,40,0.02585315,3,0.03840246,,,366,0.42773499,,,1,0.00882924,19,0.00606537,31,0.00561027,78,0.32648278,8,0.05366606,2,0.03261579,123,0.13511881,269,0.02322987,7,0.07003502,313,0.09035536
operations manager,153,0.37557994,483,0.47953774,,,2187,0.61795721,590,1.14583131,403,0.47216234,1794,0.36717752,1006,0.65020683,37,0.47363031,7,0.63520871,303,0.35410848,,,26,0.2295603,1425,0.45490241,3153,0.57061883,134,0.56088067,153,1.02636345,41,0.66862361,331,0.3636124,6310,0.54490877,60,0.60030015,1699,0.49045928
assistant video and motion picture director,148,0.36330609,10,0.00992832,,,38,0.01073725,14,0.02718922,76,0.08904302,45,0.00921014,23,0.01486556,,,1,0.0907441,199,0.23256629,,,1,0.00882924,80,0.02553838,176,0.03185186,87,0.36415387,6,0.04024955,3,0.04892368,174,0.19114368,474,0.04093293,4,0.04002001,121,0.03492971
accountant,147,0.36085131,2617,2.5982407,,,11125,3.14347231,335,0.65059913,681,0.79787234,10441,2.13695681,8446,5.45889349,88,1.12647209,5,0.45372051,212,0.24775907,,,124,1.09482606,4109,1.31171509,6734,1.21869559,201,0.841321,110,0.73790837,141,2.29941292,1988,2.18387143,21172,1.82833733,54,0.54027014,1385,0.39981525
maintenance and repair engineer,145,0.35594177,261,0.25912909,,,1660,0.46904845,296,0.57485774,151,0.17691442,1180,0.2415103,642,0.41494312,16,0.20481311,6,0.54446461,301,0.35177113,,,15,0.13243864,936,0.29879906,2168,0.392357,55,0.23021221,46,0.30857986,35,0.57077626,832,0.91397436,2770,0.23920718,21,0.21010505,1300,0.37527785
promoter,144,0.353487,296,0.2938782,,,14780,4.17622659,2159,4.19296576,3994,4.67944512,4855,0.99367161,950,0.61401241,1639,20.98054275,2,0.1814882,115,0.13439761,,,5389,47.58078757,919,0.29337215,25137,4.54920569,376,1.57381441,143,0.95928087,20,0.32615786,282,0.30978458,3282,0.28342165,416,4.16208104,94,0.02713548
