skill,title,count,standardized count
Communications,financial controller,50,0.0002893401308974752
Finance,project support officer,50,0.0002893401308974752
Arabic Language,education programme coordinator,50,0.0002893401308974752
Planning,logistics and distribution manager,50,0.0002893401308974752
Management,logistics analyst,50,0.0002893401308974752
Analytical Skills,project manager,50,0.0002893401308974752
Arabic Language,public relations officer,50,0.0002893401308974752
Budgeting,financial controller,49,0.0002835533282795257
Communications,education programme coordinator,49,0.0002835533282795257
Financial Statements,accounting assistant,49,0.0002835533282795257
Procurement,supply chain assistant,49,0.0002835533282795257
Data Entry,data entry clerk,49,0.0002835533282795257
Logistics,supply chain assistant,48,0.0002777665256615762
Accounting,financial manager,48,0.0002777665256615762
Innovation,relocation officer,47,0.0002719797230436267
Detail Oriented,accounting assistant,47,0.0002719797230436267
Arabic Language,humanitarian advisor,47,0.0002719797230436267
English Language,grants management officer,47,0.0002719797230436267
Management,management assistant,47,0.0002719797230436267
English Language,logistics and distribution manager,47,0.0002719797230436267
Data Visualization,relocation officer,46,0.0002661929204256772
Data Science,relocation officer,46,0.0002661929204256772
Business Intelligence,relocation officer,46,0.0002661929204256772
Creativity,relocation officer,46,0.0002661929204256772
Ethical Standards And Conduct,management assistant,46,0.0002661929204256772
Management,financial manager,46,0.0002661929204256772
SQL (Programming Language),relocation officer,46,0.0002661929204256772
Machine Learning,relocation officer,46,0.0002661929204256772
Tableau (Business Intelligence Software),relocation officer,46,0.0002661929204256772
R (Programming Language),relocation officer,46,0.0002661929204256772
Planning,food technician,46,0.0002661929204256772
Operations,operations manager,46,0.0002661929204256772
Planning,management assistant,46,0.0002661929204256772
Problem Solving,project support officer,46,0.0002661929204256772
Python (Programming Language),relocation officer,46,0.0002661929204256772
Computer Literacy,project manager,46,0.0002661929204256772
Project Implementation,monitoring and evaluation officer,46,0.0002661929204256772
Data Analysis,relocation officer,46,0.0002661929204256772
English Language,logistics analyst,46,0.0002661929204256772
Coordinating,grants management officer,46,0.0002661929204256772
Decision Making,project manager,45,0.0002604061178077277
Business Analysis,relocation officer,45,0.0002604061178077277
Data Mining,relocation officer,45,0.0002604061178077277
Teamwork,supply chain assistant,45,0.0002604061178077277
Power BI,relocation officer,45,0.0002604061178077277
Resilience,project manager,45,0.0002604061178077277
Microsoft SQL Servers,relocation officer,45,0.0002604061178077277
Analytical Skills,relocation officer,45,0.0002604061178077277
Project Implementation,programme manager,45,0.0002604061178077277
Data Management,monitoring and evaluation officer,45,0.0002604061178077277
Management,financial controller,44,0.0002546193151897782
Accounting,accountant,44,0.0002546193151897782
Problem Solving,monitoring and evaluation officer,44,0.0002546193151897782
Auditing,accounting assistant,44,0.0002546193151897782
Arabic Language,financial controller,44,0.0002546193151897782
Microsoft Excel,monitoring and evaluation officer,44,0.0002546193151897782
Accountability,supply chain assistant,44,0.0002546193151897782
Communications,food technician,44,0.0002546193151897782
Management,venue director,44,0.0002546193151897782
Microsoft PowerPoint,project manager,44,0.0002546193151897782
Communications,dietetic technician,43,0.00024883251257182867
Arabic Language,logistics analyst,43,0.00024883251257182867
Planning,supply chain assistant,43,0.00024883251257182867
Logistics,logistics and distribution manager,43,0.00024883251257182867
English Language,dietetic technician,43,0.00024883251257182867
Ethical Standards And Conduct,project manager,43,0.00024883251257182867
Team Management,project manager,43,0.00024883251257182867
Planning,dietetic technician,43,0.00024883251257182867
Arabic Language,supply chain assistant,42,0.0002430457099538792
Accountability,accounting assistant,42,0.0002430457099538792
Accounting Software,accounting assistant,42,0.0002430457099538792
Communications,venue director,42,0.0002430457099538792
Accountability,dietetic technician,42,0.0002430457099538792
Management,accounting assistant,42,0.0002430457099538792
Child Protection,project support officer,42,0.0002430457099538792
English Language,procurement support officer,42,0.0002430457099538792
Operations,logistics analyst,42,0.0002430457099538792
Coordinating,health and safety officer,42,0.0002430457099538792
Data Collection,kitchen assistant,41,0.00023725890733592968
English Language,bodyguard,41,0.00023725890733592968
Constructive Feedback,programme manager,41,0.00023725890733592968
Management,operations manager,41,0.00023725890733592968
Management,procurement support officer,41,0.00023725890733592968
Professionalism,management assistant,41,0.00023725890733592968
Advocacy,programme manager,41,0.00023725890733592968
Report Writing,programme manager,40,0.00023147210471798017
