skill,title,count,standardized count
Reconciliation,sales manager,29,0.0003840347485234526
Accounts Receivable,accountant,29,0.0003840347485234526
Management,monitoring and evaluation officer,29,0.0003840347485234526
Accounting,accounting manager,28,0.0003707921709881611
React.js (Javascript Library),software developer,28,0.0003707921709881611
Detail Oriented,accountant,28,0.0003707921709881611
Cascading Style Sheets (CSS),software developer,28,0.0003707921709881611
Resilience,project manager,28,0.0003707921709881611
Data Collection,project manager,28,0.0003707921709881611
English Language,financial controller,27,0.00035754959345286967
Communications,procurement support officer,27,0.00035754959345286967
Coordinating,monitoring and evaluation officer,27,0.00035754959345286967
Agile Methodology,software developer,27,0.00035754959345286967
Project Documentation,project manager,27,0.00035754959345286967
English Language,logistics and distribution manager,27,0.00035754959345286967
Planning,project support officer,27,0.00035754959345286967
Python (Programming Language),software developer,27,0.00035754959345286967
Front End (Software Engineering),software developer,27,0.00035754959345286967
JavaScript (Programming Language),user interface developer,27,0.00035754959345286967
Graphic Design,promoter,27,0.00035754959345286967
Project Management,project support officer,27,0.00035754959345286967
Presentations,project manager,26,0.0003443070159175782
Financial Statements,financial manager,26,0.0003443070159175782
Management,human resources officer,26,0.0003443070159175782
External Auditing,financial auditor,26,0.0003443070159175782
Management,financial controller,26,0.0003443070159175782
Management,food technician,26,0.0003443070159175782
Accounting,financial manager,26,0.0003443070159175782
Verbal Communication Skills,accounting assistant,26,0.0003443070159175782
Bookkeeping,accountant,26,0.0003443070159175782
Research,project manager,26,0.0003443070159175782
Communications,food technician,26,0.0003443070159175782
Communications,software developer,26,0.0003443070159175782
Planning,programme manager,26,0.0003443070159175782
Management,accounting assistant,25,0.00033106443838228674
Teamwork,promoter,25,0.00033106443838228674
Planning,monitoring and evaluation officer,25,0.00033106443838228674
Management,grants management officer,25,0.00033106443838228674
Operations,financial controller,25,0.00033106443838228674
Income Tax,accountant,25,0.00033106443838228674
Project Management,programme manager,25,0.00033106443838228674
Financial Management,project manager,25,0.00033106443838228674
Communications,accounting assistant,25,0.00033106443838228674
Social Sciences,monitoring and evaluation officer,25,0.00033106443838228674
Business Development,business developer,25,0.00033106443838228674
HyperText Markup Language (HTML),software developer,25,0.00033106443838228674
Microsoft Office,project manager,25,0.00033106443838228674
Economic Growth,audit supervisor,25,0.00033106443838228674
Communications,education programme coordinator,25,0.00033106443838228674
Project Coordination,project manager,24,0.0003178218608469953
Logistics,logistics and distribution manager,24,0.0003178218608469953
Microsoft Word,project manager,24,0.0003178218608469953
Microsoft Excel,accountant,24,0.0003178218608469953
Leadership,audit supervisor,24,0.0003178218608469953
Organizational Skills,project manager,24,0.0003178218608469953
Angular (Web Framework),software developer,24,0.0003178218608469953
Investments,audit supervisor,24,0.0003178218608469953
RESTful API,software developer,24,0.0003178218608469953
Needs Assessment,project manager,24,0.0003178218608469953
English Language,community development officer,24,0.0003178218608469953
Public Relations,public relations officer,23,0.00030457928331170377
Administrative Functions,administrative assistant,23,0.00030457928331170377
English Language,software developer,23,0.00030457928331170377
Sustainable Development,project manager,23,0.00030457928331170377
Data Analysis,monitoring and evaluation officer,23,0.00030457928331170377
English Language,grants management officer,23,0.00030457928331170377
Social Media,public relations officer,23,0.00030457928331170377
Budgeting,project manager,23,0.00030457928331170377
Cascading Style Sheets (CSS),user interface developer,23,0.00030457928331170377
Procurement,accounting assistant,23,0.00030457928331170377
Graphic Design,graphic designer,23,0.00030457928331170377
Selling Techniques,promoter,22,0.0002913367057764123
Time Management,sales manager,22,0.0002913367057764123
Budgeting,accounting assistant,22,0.0002913367057764123
Analytical Skills,audit supervisor,22,0.0002913367057764123
Arabic Language,procurement support officer,22,0.0002913367057764123
Communications,logistics and distribution manager,22,0.0002913367057764123
Interpersonal Communications,project support officer,22,0.0002913367057764123
Finance,grants management officer,22,0.0002913367057764123
Software Development Life Cycle,software developer,22,0.0002913367057764123
Problem Solving,software developer,22,0.0002913367057764123
General Ledger,accountant,22,0.0002913367057764123
Social Work,project manager,22,0.0002913367057764123
Operations,logistics and distribution manager,22,0.0002913367057764123
Communications,community development officer,22,0.0002913367057764123
Debugging,software developer,22,0.0002913367057764123
Food Security,project manager,22,0.0002913367057764123
Cooperation,project manager,22,0.0002913367057764123
Financial Statements,financial auditor,22,0.0002913367057764123
Verbal Communication Skills,project manager,21,0.00027809412824112084
Operations,accounting assistant,21,0.00027809412824112084
Computer Literacy,sales manager,21,0.00027809412824112084
Constructive Feedback,audit supervisor,21,0.00027809412824112084
Data Quality,food technician,21,0.00027809412824112084
React.js (Javascript Library),user interface developer,21,0.00027809412824112084
Inventory Management,sales manager,21,0.00027809412824112084
Analytical Skills,sales manager,21,0.00027809412824112084
Customer Service,commercial sales representative,21,0.00027809412824112084
Planning,audit supervisor,21,0.00027809412824112084
Technology Solutions,software developer,21,0.00027809412824112084
Finance,procurement support officer,21,0.00027809412824112084
Key Performance Indicators (KPIs),audit supervisor,21,0.00027809412824112084
Value Propositions,audit supervisor,21,0.00027809412824112084
Internal Controls,audit supervisor,21,0.00027809412824112084
Arabic Language,financial controller,21,0.00027809412824112084
Upskilling,audit supervisor,21,0.00027809412824112084
Accountability,audit supervisor,21,0.00027809412824112084
