Green Occupations within the Energy Sector,Share of Green per Occupation,Share of Non-Green per Occupation,posts count
spa manager,35.294117647058826,64.70588235294117,17
microelectronics maintenance technician,35.24590163934426,64.75409836065575,244
engineering lecturer,35.2112676056338,64.7887323943662,426
construction manager,35.0,65.0,880
firefighter instructor,34.78260869565217,65.21739130434783,23
deck officer,34.78260869565217,65.21739130434783,23
refrigeration air condition and heat pump technician,34.65577596266044,65.34422403733956,857
electrical engineer,34.57532051282051,65.42467948717949,4992
tunnel boring machine operator,34.54545454545455,65.45454545454545,55
healthcare specialist lecturer,34.48275862068966,65.51724137931035,29
radio technician,34.42622950819672,65.57377049180327,61
domestic appliances shop manager,34.375,65.625,32
electromagnetic engineer,34.375,65.625,96
enterprise development worker,34.31372549019608,65.68627450980392,102
production designer,34.11764705882353,65.88235294117646,85
pipeline superintendent,34.099616858237546,65.90038314176245,261
legal consultant,34.031413612565444,65.96858638743456,382
commodity trader,33.92857142857143,66.07142857142857,56
dangerous goods safety adviser,33.82352941176471,66.17647058823529,68
emergency response coordinator,33.80281690140845,66.19718309859155,142
technical director,33.776091081593925,66.22390891840607,527
specialised doctor,33.75,66.25,80
construction engineer,33.723135271807834,66.27686472819217,3164
asset manager,33.59375,66.40625,128
drilling engineer,33.56130923302394,66.43869076697607,2047
data centre operator,33.55263157894737,66.44736842105263,304
rail project engineer,33.497536945812804,66.50246305418719,203
equipment engineer,33.429394812680115,66.57060518731988,347
archaeologist,33.33333333333333,66.66666666666666,3
blending plant operator,33.33333333333333,66.66666666666666,12
rolling stock assembly supervisor,33.33333333333333,66.66666666666666,3
human rights officer,33.33333333333333,66.66666666666666,6
warehouse operators for clothing,33.33333333333333,66.66666666666666,6
ticket issuing clerk,33.33333333333333,66.66666666666666,3
medical goods shop manager,33.33333333333333,66.66666666666666,15
victim support officer,33.33333333333333,66.66666666666666,12
lawyer linguist,33.33333333333333,66.66666666666666,9
bartender,33.33333333333333,66.66666666666666,36
verger,33.33333333333333,66.66666666666666,3
advertising media buyer,33.33333333333333,66.66666666666666,27
fibre machine tender,33.33333333333333,66.66666666666666,3
pastry chef,33.33333333333333,66.66666666666666,18
teacher of talented and gifted students,33.33333333333333,66.66666666666666,6
head pastry chef,33.33333333333333,66.66666666666666,6
pastry maker,33.33333333333333,66.66666666666666,15
telecommunications equipment specialised seller,33.33333333333333,66.66666666666666,24
vehicle glazier,33.33333333333333,66.66666666666666,6
lasting machine operator,33.33333333333333,66.66666666666666,3
finishing textile technician,33.33333333333333,66.66666666666666,6
further education principal,33.33333333333333,66.66666666666666,9
temperature screener,33.33333333333333,66.66666666666666,6
footwear production technician,33.33333333333333,66.66666666666666,12
exhibition curator,33.33333333333333,66.66666666666666,12
non-vessel operating common carrier,33.33333333333333,66.66666666666666,6
livestock advisor,33.33333333333333,66.66666666666666,9
septic tank servicer,33.33333333333333,66.66666666666666,3
vacuum forming machine operator,33.33333333333333,66.66666666666666,3
media integration operator,33.33333333333333,66.66666666666666,3
food technologist,33.33333333333333,66.66666666666666,3
pipeline pump operator,33.33333333333333,66.66666666666666,27
amusement park cleaner,33.33333333333333,66.66666666666666,6
assessor of prior learning,33.33333333333333,66.66666666666666,3
food analyst,33.33333333333333,66.66666666666666,6
acupuncturist,33.33333333333333,66.66666666666666,3
astronomer,33.33333333333333,66.66666666666666,3
vessel engine assembler,33.33333333333333,66.66666666666666,6
toilet attendant,33.33333333333333,66.66666666666666,6
sewerage network operative,33.33333333333333,66.66666666666666,3
fight director,33.33333333333333,66.66666666666666,3
mine surveyor,33.33333333333333,66.66666666666666,12
research manager,33.33333333333333,66.66666666666666,78
V-belt builder,33.33333333333333,66.66666666666666,3
advanced physiotherapist,33.33333333333333,66.66666666666666,6
food safety inspector,33.33333333333333,66.66666666666666,6
restaurant host/restaurant hostess,33.33333333333333,66.66666666666666,6
aircraft fuel system operator,33.33333333333333,66.66666666666666,147
import export specialist in metals and metal ores,33.33333333333333,66.66666666666666,3
dental chairside assistant,33.33333333333333,66.66666666666666,6
civil engineer,33.181299885974916,66.81870011402509,1754
chemical engineer,33.14917127071823,66.85082872928176,543
instrumentation engineer,33.0230675839741,66.9769324160259,2471
steam turbine operator,32.91139240506329,67.08860759493672,79
transport engineer,32.903225806451616,67.0967741935484,155
wire weaving machine operator,32.758620689655174,67.24137931034483,58
installation engineer,32.72921108742004,67.27078891257996,938
project support officer,32.69230769230769,67.3076923076923,624
motor vehicle assembly supervisor,32.6530612244898,67.3469387755102,49
marine engineering technician,32.62411347517731,67.37588652482269,141
medical laboratory manager,32.55813953488372,67.44186046511628,43
investment adviser,32.5,67.5,40
consumer goods inspector,32.5,67.5,40
interior designer,32.5,67.5,40
immigration adviser,32.432432432432435,67.56756756756756,37
telecommunications engineer,32.39700374531835,67.60299625468164,534
gas scheduling representative,32.35294117647059,67.64705882352942,68
communication manager,32.327586206896555,67.67241379310344,232
process engineering technician,32.234432234432234,67.76556776556777,273
resource manager,32.20338983050847,67.79661016949152,59
programme manager,32.0945945945946,67.9054054054054,296
pneumatic engineering technician,32.0,68.0,25
quick service restaurant crew member,32.0,68.0,25
mineral processing operator,32.0,68.0,50
stevedore superintendent,31.88405797101449,68.11594202898551,69
event manager,31.88405797101449,68.11594202898551,69
production engineering technician,31.79190751445087,68.20809248554913,173
chief executive officer,31.683168316831683,68.31683168316832,101
university research assistant,31.65829145728643,68.34170854271356,199
wig and hairpiece maker,31.57894736842105,68.42105263157895,19
warehouse order picker,31.57894736842105,68.42105263157895,19
youth centre manager,31.57894736842105,68.42105263157895,19
occupational health and safety inspector,31.557377049180328,68.44262295081968,244
chemical processing plant controller,31.515151515151512,68.48484848484848,165
rental service representative in office machinery and equipment,31.428571428571427,68.57142857142857,35
regulatory affairs manager,31.333333333333336,68.66666666666667,150
operations manager,31.32530120481928,68.67469879518072,1328
marine engineer,31.289640591966172,68.71035940803382,473
cadastral technician,31.25,68.75,80
industrial arts vocational teacher,31.25,68.75,16
process metallurgist,31.25,68.75,80
sports programme coordinator,31.25,68.75,16
wastewater treatment technician,31.25,68.75,16
accommodation manager,31.25,68.75,128
marine cargo inspector,31.03448275862069,68.96551724137932,29
regional development policy officer,30.952380952380953,69.04761904761905,84
land-based machinery operator,30.952380952380953,69.04761904761905,42
pipeline environmental project manager,30.808080808080806,69.1919191919192,198
computer hardware engineering technician,30.76923076923077,69.23076923076923,39
agricultural policy officer,30.76923076923077,69.23076923076923,13
EU funds manager,30.76923076923077,69.23076923076923,13
mechatronics engineering technician,30.64516129032258,69.35483870967742,124
road construction supervisor,30.612244897959183,69.38775510204081,49
fire prevention and protection engineer,30.517711171662125,69.48228882833789,367
metallurgical technician,30.434782608695656,69.56521739130434,92
transport planner,30.434782608695656,69.56521739130434,115
bank account manager,30.434782608695656,69.56521739130434,299
insurance risk consultant,30.405405405405407,69.5945945945946,148
building materials specialised seller,30.357142857142854,69.64285714285714,56
quality engineer,30.335570469798657,69.66442953020135,1490
social services manager,30.303030303030305,69.6969696969697,33
civil service administrative officer,30.23255813953488,69.76744186046511,43
online sales channel manager,30.208333333333332,69.79166666666666,96
corporate trainer,30.201342281879196,69.79865771812081,149
pipeline engineer,30.17439947351102,69.82560052648897,3039
materials engineer,30.064308681672024,69.93569131832797,622
street lighting electrician,30.0,70.0,50
industrial engineering technician,30.0,70.0,80
international forwarding operations coordinator,30.0,70.0,30
food production operator,30.0,70.0,10
historian,30.0,70.0,10
aquaculture biologist,30.0,70.0,10
trolley bus driver,30.0,70.0,10
automotive engineer,30.0,70.0,120
document management officer,29.792746113989637,70.20725388601036,772
water plant technician,29.78723404255319,70.2127659574468,47
electronics production supervisor,29.72972972972973,70.27027027027027,74
chemical plant control room operator,29.66101694915254,70.33898305084746,118
packaging production manager,29.629629629629626,70.37037037037037,108
metallurgical manager,29.629629629629626,70.37037037037037,27
technical sales representative,29.533678756476682,70.46632124352331,579
construction equipment technician,29.475587703435806,70.5244122965642,553
explosives engineer,29.411764705882355,70.58823529411765,17
security alarm investigator,29.411764705882355,70.58823529411765,34
hydroelectric plant operator,29.411764705882355,70.58823529411765,17
call centre manager,29.411764705882355,70.58823529411765,17
refinery shift manager,29.38775510204082,70.61224489795919,245
quality engineering technician,29.37062937062937,70.62937062937063,286
control panel tester,29.310344827586203,70.6896551724138,58
hotel concierge,29.310344827586203,70.6896551724138,58
product development manager,29.310344827586203,70.6896551724138,58
robotics engineer,29.184549356223176,70.81545064377683,233
ICT operations manager,29.078014184397162,70.92198581560284,141
talent agent,29.074889867841406,70.92511013215858,227
heating technician,29.044117647058826,70.95588235294117,544
gas processing plant control room operator,28.915662650602407,71.08433734939759,83
liquid fuel engineer,28.78787878787879,71.21212121212122,132
production engineer,28.738317757009348,71.26168224299066,428
construction painter,28.63070539419087,71.36929460580913,241
technical sales representative in electronic and telecommunications equipment,28.57142857142857,71.42857142857143,49
leather goods product development manager,28.57142857142857,71.42857142857143,7
maritime pilot,28.57142857142857,71.42857142857143,42
personal trust officer,28.57142857142857,71.42857142857143,7
product grader,28.57142857142857,71.42857142857143,14
meteorologist,28.57142857142857,71.42857142857143,7
dividend analyst,28.57142857142857,71.42857142857143,7
land-based machinery technician,28.57142857142857,71.42857142857143,7
pharmaceutical quality specialist,28.57142857142857,71.42857142857143,21
first aid instructor,28.57142857142857,71.42857142857143,14
secretary general,28.57142857142857,71.42857142857143,14
milliner,28.57142857142857,71.42857142857143,7
aeronautical information service officer,28.57142857142857,71.42857142857143,21
aerospace engineering drafter,28.57142857142857,71.42857142857143,7
court enforcement officer,28.57142857142857,71.42857142857143,7
programme funding manager,28.57142857142857,71.42857142857143,35
archivist,28.57142857142857,71.42857142857143,14
oil refinery control room operator,28.57142857142857,71.42857142857143,147
orthopaedic supplies specialised seller,28.57142857142857,71.42857142857143,7
oxy fuel burning machine operator,28.57142857142857,71.42857142857143,7
commissioning technician,28.516624040920718,71.48337595907928,782
computer hardware engineer,28.440366972477065,71.55963302752293,109
office equipment repair technician,28.346456692913385,71.65354330708661,127
field survey manager,28.333333333333332,71.66666666666667,60
retail entrepreneur,28.30188679245283,71.69811320754717,53
intellectual property consultant,28.30188679245283,71.69811320754717,53
business service manager,28.270042194092827,71.72995780590718,237
test engineer,28.24427480916031,71.7557251908397,131
electronic and telecommunications equipment parts distribution manager,28.205128205128204,71.7948717948718,39
business economics researcher,28.169014084507044,71.83098591549296,71
desalination technician,28.125,71.875,64
video and motion picture director,28.125,71.875,32
creative director,28.04878048780488,71.95121951219512,82
tax policy analyst,28.000000000000004,72.0,25
dean of faculty,28.000000000000004,72.0,25
chemical processing supervisor,27.941176470588236,72.05882352941177,68
industrial quality manager,27.927927927927925,72.07207207207207,111
manufacturing engineer,27.918781725888326,72.08121827411168,394
host/hostess,27.906976744186046,72.09302325581395,43
product development engineering technician,27.86885245901639,72.1311475409836,183
drill operator,27.830188679245282,72.16981132075472,212
management assistant,27.82258064516129,72.17741935483872,248
mechanical engineer,27.81385281385281,72.18614718614718,2772
"heating, ventilation, air conditioning engineer",27.787610619469028,72.21238938053098,565
woodturner,27.77777777777778,72.22222222222221,18
road operations manager,27.77777777777778,72.22222222222221,18
rescue centre manager,27.77777777777778,72.22222222222221,36
telecommunication equipment shop manager,27.77777777777778,72.22222222222221,18
power tool repair technician,27.710843373493976,72.28915662650603,83
industrial maintenance supervisor,27.703984819734345,72.29601518026566,527
lawyer,27.692307692307693,72.3076923076923,65
naval architect,27.692307692307693,72.3076923076923,65
commercial director,27.62312633832976,72.37687366167023,467
drilling machine operator,27.603305785123965,72.39669421487604,605
agronomist,27.586206896551722,72.41379310344827,29
security guard supervisor,27.586206896551722,72.41379310344827,87
production supervisor,27.513227513227513,72.4867724867725,378
move manager,27.500000000000004,72.5,40
manufacturing manager,27.40740740740741,72.5925925925926,135
civil engineering worker,27.397260273972602,72.6027397260274,73
trade regional manager,27.365728900255753,72.63427109974424,391
vehicle maintenance attendant,27.27272727272727,72.72727272727273,22
database integrator,27.27272727272727,72.72727272727273,11
public affairs consultant,27.27272727272727,72.72727272727273,22
cultural facilities manager,27.27272727272727,72.72727272727273,22
corporate social responsibility manager,27.27272727272727,72.72727272727273,77
rotating equipment mechanic,27.188940092165897,72.81105990783409,217
budget manager,27.11864406779661,72.88135593220339,118
criminal investigator,27.027027027027028,72.97297297297297,37
medical device engineering technician,27.027027027027028,72.97297297297297,37
bacteriology technician,26.923076923076923,73.07692307692307,26
second officer,26.923076923076923,73.07692307692307,78
medical practice manager,26.923076923076923,73.07692307692307,52
lift technician,26.878612716763005,73.121387283237,346
corporate risk manager,26.68918918918919,73.3108108108108,296
fisheries refrigeration engineer,26.666666666666668,73.33333333333333,15
political affairs officer,26.666666666666668,73.33333333333333,45
aircraft engine inspector,26.666666666666668,73.33333333333333,30
heat treatment furnace operator,26.666666666666668,73.33333333333333,15
rolling stock engineer,26.666666666666668,73.33333333333333,15
further education teacher,26.666666666666668,73.33333333333333,15
security manager,26.666666666666668,73.33333333333333,195
window installer,26.666666666666668,73.33333333333333,15
leather goods maintenance technician,26.666666666666668,73.33333333333333,30
animation director,26.666666666666668,73.33333333333333,15
control panel assembler,26.666666666666668,73.33333333333333,15
airport security officer,26.666666666666668,73.33333333333333,30
offshore renewable energy plant operator,26.5625,73.4375,64
social service consultant,26.436781609195403,73.5632183908046,87
chef,26.38888888888889,73.61111111111111,144
electrical equipment inspector,26.351351351351347,73.64864864864865,444
promotion manager,26.31578947368421,73.68421052631578,57
spokesperson,26.31578947368421,73.68421052631578,19
greaser,26.31578947368421,73.68421052631578,19
manufacturing facility manager,26.31578947368421,73.68421052631578,38
hardware and paint shop manager,26.31578947368421,73.68421052631578,19
copy editor,26.21359223300971,73.7864077669903,103
pipeline compliance coordinator,26.190476190476193,73.80952380952381,126
electronics and automation vocational teacher,26.190476190476193,73.80952380952381,42
admissions coordinator,26.136363636363637,73.86363636363636,88
after-sales service technician,26.08695652173913,73.91304347826086,529
licensing manager,26.08695652173913,73.91304347826086,23
online marketer,26.08695652173913,73.91304347826086,23
cost analyst,26.032540675844807,73.9674593241552,799
design engineer,26.024096385542165,73.97590361445782,415
water treatment systems operator,26.0,74.0,100
chief fire officer,26.0,74.0,50
electrical engineering technician,25.96944770857814,74.03055229142186,851
business manager,25.90529247910863,74.09470752089136,359
middle office analyst,25.862068965517242,74.13793103448276,58
hydropower technician,25.862068965517242,74.13793103448276,58
industrial assembly supervisor,25.842696629213485,74.15730337078652,89
blender operator,25.818181818181817,74.18181818181819,275
botanical technician,25.806451612903224,74.19354838709677,31
procurement department manager,25.71428571428571,74.28571428571429,665
integration engineer,25.64102564102564,74.35897435897436,273
freight transport dispatcher,25.555555555555554,74.44444444444444,90
rotating equipment engineer,25.55066079295154,74.44933920704845,908
boat rigger,25.53191489361702,74.46808510638297,47
energy trader,25.5,74.5,200
electromechanical engineer,25.4416961130742,74.55830388692578,283
component engineer,25.423728813559322,74.57627118644068,59
armed forces training and education officer,25.396825396825395,74.60317460317461,63
mine supervisor,25.294117647058822,74.70588235294117,170
machine operator supervisor,25.206611570247933,74.79338842975206,484
domestic electrician,25.196850393700785,74.80314960629921,127
strategic planning manager,25.11584800741427,74.88415199258573,1079
mediator,25.0,75.0,4
business journalist,25.0,75.0,36
baker,25.0,75.0,24
rental service representative in construction and civil engineering machinery,25.0,75.0,20
footwear designer,25.0,75.0,4
aerospace engineer,25.0,75.0,48
precision engineer,25.0,75.0,12
manufactured wooden building assembler,25.0,75.0,4
flower and garden shop manager,25.0,75.0,16
powertrain engineer,25.0,75.0,28
furniture shop manager,25.0,75.0,20
radiation protection officer,25.0,75.0,40
real estate surveyor,25.0,75.0,4
horticulture production team leader,25.0,75.0,8
household goods distribution manager,25.0,75.0,4
physiotherapy assistant,25.0,75.0,4
car driving instructor,25.0,75.0,4
survey enumerator,25.0,75.0,12
store detective,25.0,75.0,44
cabin crew manager,25.0,75.0,8
import export specialist in perfume and cosmetics,25.0,75.0,4
community artist,25.0,75.0,4
fine arts instructor,25.0,75.0,4
textile technologist,25.0,75.0,4
domestic energy assessor,25.0,75.0,36
railway electronic technician,25.0,75.0,8
professional athlete,25.0,75.0,12
travel and tourism vocational teacher,25.0,75.0,4
intercultural communication consultant,25.0,75.0,8
colour sampling operator,25.0,75.0,4
ICT test analyst,25.0,75.0,16
food production planner,25.0,75.0,8
microelectronics engineering technician,25.0,75.0,4
legal guardian,25.0,75.0,4
outdoor activities coordinator,25.0,75.0,8
contact centre manager,25.0,75.0,4
mine rescue officer,25.0,75.0,4
import export manager,25.0,75.0,20
import export specialist in fruit and vegetables,25.0,75.0,4
biology technician,25.0,75.0,12
tyre vulcaniser,25.0,75.0,4
telecommunications technician,25.0,75.0,196
instrumentation engineering technician,24.915824915824917,75.08417508417509,297
automation engineering technician,24.848484848484848,75.15151515151514,165
police inspector,24.832214765100673,75.16778523489933,149
automation engineer,24.766355140186917,75.23364485981308,428
department manager,24.725274725274726,75.27472527472527,182
information manager,24.691358024691358,75.30864197530865,81
power electronics engineer,24.63235294117647,75.36764705882352,272
raw materials warehouse specialist,24.62686567164179,75.3731343283582,134
construction safety inspector,24.59016393442623,75.40983606557377,183
tooling engineer,24.519230769230766,75.48076923076923,208
public administration manager,24.489795918367346,75.51020408163265,49
electricity sales representative,24.489795918367346,75.51020408163265,98
human resources manager,24.45482866043614,75.54517133956386,642
"heating, ventilation, air conditioning (and refrigeration) drafter",24.390243902439025,75.60975609756098,41
technical communicator,24.358974358974358,75.64102564102564,78
aircraft gas turbine engine overhaul technician,24.358974358974358,75.64102564102564,78
file clerk,24.324324324324326,75.67567567567568,37
warehouse worker,24.242424242424242,75.75757575757575,33
marine engineering drafter,24.242424242424242,75.75757575757575,66
security guard,24.242424242424242,75.75757575757575,66
farm manager,24.074074074074073,75.92592592592592,54
billing clerk,24.03846153846154,75.96153846153845,104
hospitality establishment receptionist,24.0,76.0,50
computer shop manager,24.0,76.0,25
overhead line worker,24.0,76.0,50
government planning inspector,23.97959183673469,76.0204081632653,392
corrosion technician,23.843930635838152,76.15606936416185,692
spa attendant,23.809523809523807,76.19047619047619,63
quarry manager,23.809523809523807,76.19047619047619,21
webmaster,23.809523809523807,76.19047619047619,63
power lines supervisor,23.809523809523807,76.19047619047619,168
refining machine operator,23.809523809523807,76.19047619047619,21
electrical equipment production supervisor,23.77358490566038,76.22641509433963,265
application engineer,23.74429223744292,76.25570776255708,876
consumer electronics repair technician,23.738872403560833,76.26112759643917,337
gas distribution engineer,23.728813559322035,76.27118644067797,295
economic adviser,23.684210526315788,76.31578947368422,38
shipping agent,23.684210526315788,76.31578947368422,76
bus route supervisor,23.684210526315788,76.31578947368422,38
pneumatic systems technician,23.655913978494624,76.34408602150538,93
communication infrastructure maintainer,23.61111111111111,76.38888888888889,72
housing manager,23.61111111111111,76.38888888888889,72
,23.6003861003861,76.39961389961391,2072
railway infrastructure inspector,23.52941176470588,76.47058823529412,17
rolling stock engineering technician,23.52941176470588,76.47058823529412,17
quantity surveyor,23.519736842105264,76.48026315789474,608
civil engineering technician,23.459715639810426,76.54028436018957,422
financial broker,23.4375,76.5625,64
ICT system administrator,23.423423423423422,76.57657657657657,111
video technician,23.404255319148938,76.59574468085107,47
marine mechanic,23.357664233576642,76.64233576642336,137
chief operating officer,23.333333333333332,76.66666666666667,90
prepress operator,23.31288343558282,76.68711656441718,163
land planner,23.286052009456267,76.71394799054374,846
travel agent,23.25581395348837,76.74418604651163,43
gas production engineer,23.234200743494423,76.76579925650557,538
call centre supervisor,23.14814814814815,76.85185185185185,108
weights and measures inspector,23.076923076923077,76.92307692307693,13
automotive engineering drafter,23.076923076923077,76.92307692307693,13
ship assistant engineer,23.076923076923077,76.92307692307693,52
cocktail bartender,23.076923076923077,76.92307692307693,13
police commissioner,23.076923076923077,76.92307692307693,26
wastewater treatment operator,23.076923076923077,76.92307692307693,26
military welfare worker,23.076923076923077,76.92307692307693,13
electrical mechanic,22.932917316692667,77.06708268330733,641
location manager,22.916666666666664,77.08333333333334,48
credit manager,22.916666666666664,77.08333333333334,48
insurance claims manager,22.857142857142858,77.14285714285715,35
grants management officer,22.857142857142858,77.14285714285715,35
insurance product manager,22.857142857142858,77.14285714285715,70
product and services manager,22.857142857142858,77.14285714285715,105
plumber,22.833723653395786,77.1662763466042,854
business developer,22.739018087855296,77.2609819121447,774
ground lighting officer,22.727272727272727,77.27272727272727,22
equality and inclusion manager,22.727272727272727,77.27272727272727,22
electronics engineering technician,22.71062271062271,77.2893772893773,273
metal production supervisor,22.569444444444446,77.43055555555556,288
editor-in-chief,22.22222222222222,77.77777777777779,9
subtitler,22.22222222222222,77.77777777777779,9
beverage filtration technician,22.22222222222222,77.77777777777779,9
dietitian,22.22222222222222,77.77777777777779,9
credit union manager,22.22222222222222,77.77777777777779,9
humanitarian advisor,22.22222222222222,77.77777777777779,18
tram controller,22.22222222222222,77.77777777777779,27
real estate leasing manager,22.22222222222222,77.77777777777779,45
ambassador,22.22222222222222,77.77777777777779,18
bridge construction supervisor,22.22222222222222,77.77777777777779,9
politics lecturer,22.22222222222222,77.77777777777779,9
destination manager,22.22222222222222,77.77777777777779,18
glass installation supervisor,22.22222222222222,77.77777777777779,9
contract engineer,22.156133828996282,77.84386617100371,1345
pump operator,22.123893805309734,77.87610619469027,113
dependability engineer,22.08835341365462,77.91164658634538,498
administrative assistant,22.05607476635514,77.94392523364486,535
fluid power engineer,22.033898305084744,77.96610169491525,59
restaurant manager,22.033898305084744,77.96610169491525,118
case administrator,22.0,78.0,50
aircraft assembly inspector,22.0,78.0,50
aircraft engine specialist,21.839080459770116,78.16091954022988,87
insulating tube winder,21.818181818181817,78.18181818181819,55
membership administrator,21.73913043478261,78.26086956521739,46
mining electrician,21.62162162162162,78.37837837837837,37
intermodal logistics manager,21.62162162162162,78.37837837837837,37
dredging supervisor,21.551724137931032,78.44827586206897,116
material testing technician,21.53846153846154,78.46153846153847,65
monitoring and evaluation officer,21.524663677130047,78.47533632286996,223
airport operations officer,21.518987341772153,78.48101265822784,79
coating machine operator,21.518987341772153,78.48101265822784,158
insurance agency manager,21.428571428571427,78.57142857142857,14
performance artist,21.428571428571427,78.57142857142857,14
bakery shop manager,21.428571428571427,78.57142857142857,14
architecture lecturer,21.428571428571427,78.57142857142857,84
head of workshop,21.428571428571427,78.57142857142857,266
automotive engineering technician,21.40221402214022,78.59778597785979,271
customer service representative,21.397379912663755,78.60262008733623,229
ICT project manager,21.256038647342994,78.74396135265701,207
electronics engineer,21.21212121212121,78.78787878787878,132
public relations manager,21.153846153846153,78.84615384615384,156
trade development officer,21.153846153846153,78.84615384615384,104
tool pusher,21.153846153846153,78.84615384615384,52
container equipment assembler,21.052631578947366,78.94736842105263,19
marine fitter,21.052631578947366,78.94736842105263,19
camping ground manager,21.052631578947366,78.94736842105263,19
boiler operator,20.967741935483872,79.03225806451613,62
supply chain manager,20.950323974082075,79.04967602591793,463
vessel assembly supervisor,20.8955223880597,79.1044776119403,67
ICT network administrator,20.833333333333336,79.16666666666666,24
food production manager,20.833333333333336,79.16666666666666,24
advertising manager,20.833333333333336,79.16666666666666,24
logistics and distribution manager,20.735155513666353,79.26484448633366,1061
publications coordinator,20.689655172413794,79.3103448275862,29
mine planning engineer,20.689655172413794,79.3103448275862,174
crisis situation social worker,20.689655172413794,79.3103448275862,29
book editor,20.689655172413794,79.3103448275862,29
laundry and dry cleaning manager,20.588235294117645,79.41176470588235,34
statistician,20.588235294117645,79.41176470588235,34
auction house manager,20.588235294117645,79.41176470588235,34
construction quality manager,20.521172638436482,79.47882736156352,307
education administrator,20.454545454545457,79.54545454545455,44
physicist,20.3125,79.6875,128
legal service manager,20.28985507246377,79.71014492753623,69
community development social worker,20.0,80.0,5
private chef,20.0,80.0,15
occupational analyst,20.0,80.0,45
filing machine operator,20.0,80.0,5
special educational needs teacher secondary school,20.0,80.0,5
biomedical scientist advanced,20.0,80.0,15
instructional designer,20.0,80.0,60
competition policy officer,20.0,80.0,5
nitroglycerin neutraliser,20.0,80.0,5
rail maintenance technician,20.0,80.0,10
hawker,20.0,80.0,5
matrose,20.0,80.0,5
import export specialist in dairy products and edible oils,20.0,80.0,5
heating and ventilation service engineer,20.0,80.0,155
road maintenance technician,20.0,80.0,15
plastic rolling machine operator,20.0,80.0,5
hospitality vocational teacher,20.0,80.0,10
deburring machine operator,20.0,80.0,5
educational counsellor,20.0,80.0,5
radiation therapist,20.0,80.0,5
covid tester,20.0,80.0,20
director of compliance and information security in gambling,20.0,80.0,5
mechanical engineering drafter,20.0,80.0,185
electronics drafter,20.0,80.0,20
primary school head teacher,20.0,80.0,5
food regulatory advisor,20.0,80.0,5
casting director,20.0,80.0,5
biochemist,20.0,80.0,5
illustrator,20.0,80.0,5
metal product quality control inspector,19.863013698630137,80.13698630136986,146
driller,19.84732824427481,80.1526717557252,131
call centre analyst,19.841269841269842,80.15873015873017,126
maritime water transport general manager,19.841269841269842,80.15873015873017,126
public finance accountant,19.83695652173913,80.16304347826086,368
marketing assistant,19.82758620689655,80.17241379310344,116
construction scaffolding supervisor,19.81566820276498,80.18433179723502,217
calculation engineer,19.767441860465116,80.23255813953489,344
mud logger,19.696969696969695,80.3030303030303,132
ICT system analyst,19.54022988505747,80.45977011494253,87
airport director,19.51219512195122,80.48780487804879,41
gas service technician,19.384615384615383,80.61538461538461,325
pricing specialist,19.310344827586206,80.6896551724138,145
aircraft cargo operations coordinator,19.230769230769234,80.76923076923077,52
vessel engine inspector,19.230769230769234,80.76923076923077,26
ICT change and configuration manager,19.230769230769234,80.76923076923077,26
employment and vocational integration consultant,19.101123595505616,80.89887640449437,89
advertising sales agent,19.047619047619047,80.95238095238095,42
procurement category specialist,18.961625282167045,81.03837471783297,443
purchaser,18.928571428571427,81.07142857142857,280
"mining, construction and civil engineering machinery distribution manager",18.91891891891892,81.08108108108108,111
electrician,18.904109589041095,81.0958904109589,2190
ICT consultant,18.867924528301888,81.13207547169812,159
rigging supervisor,18.82591093117409,81.17408906882592,494
embedded systems security engineer,18.823529411764707,81.17647058823529,255
aviation inspector,18.81188118811881,81.1881188118812,101
quality services manager,18.803418803418804,81.19658119658119,468
mine development engineer,18.75,81.25,80
venue director,18.75,81.25,32
sensor engineering technician,18.75,81.25,16
hospitality revenue manager,18.75,81.25,32
secondary school department head,18.75,81.25,32
business administration vocational teacher,18.75,81.25,32
3D modeller,18.75,81.25,16
scanning operator,18.6046511627907,81.3953488372093,43
mechanical engineering technician,18.570009930486595,81.42999006951341,1007
budget analyst,18.503937007874015,81.49606299212599,254
aircraft maintenance technician,18.478260869565215,81.52173913043478,184
accounting analyst,18.466898954703833,81.53310104529616,287
bridge inspector,18.421052631578945,81.57894736842105,38
ICT system architect,18.4,81.6,125
enterprise architect,18.39622641509434,81.60377358490565,212
education programme coordinator,18.39080459770115,81.60919540229885,174
corporate lawyer,18.333333333333332,81.66666666666667,120
catcher,18.181818181818183,81.81818181818183,11
bleacher operator,18.181818181818183,81.81818181818183,55
education policy officer,18.181818181818183,81.81818181818183,11
grinding machine operator,18.181818181818183,81.81818181818183,11
battery assembler,18.181818181818183,81.81818181818183,11
aviation data communications manager,18.181818181818183,81.81818181818183,11
demolition supervisor,18.181818181818183,81.81818181818183,11
plodder operator,18.181818181818183,81.81818181818183,11
wholesale merchant in chemical products,18.181818181818183,81.81818181818183,11
"computers, computer peripheral equipment and software distribution manager",18.181818181818183,81.81818181818183,11
crane crew supervisor,18.181818181818183,81.81818181818183,33
rail layer,18.181818181818183,81.81818181818183,11
stock trader,18.181818181818183,81.81818181818183,22
e-learning developer,18.181818181818183,81.81818181818183,11
employment programme coordinator,18.120805369127517,81.87919463087249,149
sales account manager,18.080357142857142,81.91964285714286,896
financial controller,17.982456140350877,82.01754385964912,456
