Soft Skill,Category,Subcategory,Algeria Count,Standardized Count Algeria,Bahrain Count,Standardized Count Bahrain,Djibouti Count,Standardized Count Djibouti,Egypt Count,Standardized Count Egypt,Iraq Count,Standardized Count Iraq,Jordan Count,Standardized Count Jordan,Kuwait Count,Standardized Count Kuwait,Lebanon Count,Standardized Count Lebanon,Libya Count,Standardized Count Libya,Mauritania Count,Standardized Count Mauritania,Morocco Count,Standardized Count Morocco,Oman Count,Standardized Count Oman,Palestine Count,Standardized Count Palestine,Qatar Count,Standardized Count Qatar,Saudi Arabia Count,Standardized Count Saudi Arabia,Somalia Count,Standardized Count Somalia,Sudan Count,Standardized Count Sudan,Syria Count,Standardized Count Syria,Tunisia Count,Standardized Count Tunisia,United Arab Emirates Count,Standardized Count United Arab Emirates,Yemen Count,Standardized Count Yemen,US Count,Standardized Count US
Coordinating,Business,Project Management,1487,1.62832207,3032,1.01157709,,,13515,1.08395237,8194,2.33889084,9202,2.40429963,7249,1.00595469,6273,1.40217938,708,3.11113064,183,2.82800185,2737,1.41541389,,,1008,3.0004465,11523,1.29049527,25738,1.43044199,3270,3.32793943,4837,3.76883639,439,1.7847705,1641,1.07201651,38964,1.06912166,2751,3.50803366,20833,0.96331558
Teamwork,Physical and Inherent Abilities,Social Skills,1172,1.28338498,3364,1.12234344,,,13246,1.06237759,5088,1.45231591,5059,1.32181611,5908,0.81986209,4897,1.09460743,301,1.32266995,105,1.62262401,3296,1.7044955,,,458,1.36329811,10792,1.20862839,17812,0.98993833,1218,1.23958111,1954,1.52249458,268,1.08956377,1631,1.06548381,37480,1.02840263,1493,1.90385106,29271,1.35348776
Presentations,Media and Communications,Communication,1129,1.23629833,4542,1.51536383,,,26017,2.08665844,2631,0.75099119,5282,1.38008157,8881,1.23242979,7297,1.63107013,229,1.00628378,54,0.83449235,2604,1.34663419,,,357,1.06265813,13254,1.48435514,33132,1.84137867,1093,1.1123663,1231,0.95915601,435,1.76850835,1658,1.08312211,58229,1.59772829,684,0.87222647,24897,1.15123449
Coaching,Physical and Inherent Abilities,Initiative and Leadership,1097,1.2012571,2875,0.95919661,,,12931,1.03711344,3257,0.92967628,5090,1.32991579,3784,0.5251114,2454,0.54853311,160,0.70308037,63,0.97357441,2311,1.19511199,,,338,1.0061021,8261,0.92517412,18526,1.02962034,798,0.81213935,1470,1.1453772,190,0.77245193,1587,1.03673992,27610,0.75758262,705,0.89900536,24512,1.13343213
Training And Development,Human Resources,Employee Training,1091,1.19468687,1575,0.52547293,,,7823,0.62743318,1865,0.53234457,2348,0.61348571,3621,0.50249164,1759,0.39318245,167,0.73384014,51,0.78813166,1254,0.64849435,,,136,0.40482215,7374,0.82583634,18731,1.04101364,583,0.59332987,709,0.55243023,133,0.54071635,1132,0.73950195,24141,0.66239775,467,0.59551135,20017,0.92558384
Influencing Skills,Physical and Inherent Abilities,Initiative and Leadership,1031,1.12898457,1666,0.55583358,,,8594,0.68927019,1448,0.41331632,2747,0.71773648,2651,0.36788328,1489,0.3328304,71,0.31199191,46,0.71086385,2053,1.06168971,,,129,0.38398571,5246,0.58751525,14115,0.78447,575,0.58518813,932,0.72618473,161,0.65455137,985,0.64347122,23486,0.6444254,446,0.56873247,20291,0.93825357
Detail Oriented,Physical and Inherent Abilities,Personal Attributes,1017,1.11365403,9915,3.30797718,,,23631,1.89529253,4356,1.24337424,6209,1.62228824,19810,2.74906364,14205,3.1751886,301,1.32266995,61,0.94266728,2476,1.28044019,,,542,1.61333532,22656,2.53731327,38074,2.11604042,1167,1.18767746,1233,0.96071434,501,2.03683376,1693,1.10598657,103275,2.83373215,1126,1.4358582,62453,2.88781972
Interpersonal Communications,Media and Communications,Communication,1016,1.112559,5140,1.71487672,,,17720,1.42120873,4491,1.28190856,6111,1.59668279,13725,1.90463899,7903,1.76652696,336,1.47646878,90,1.39082058,2116,1.09426956,,,661,1.9675547,17428,1.95181389,28633,1.59133754,1615,1.64361534,1483,1.15550638,406,1.6506078,1363,0.89040738,79703,2.18694702,1185,1.51109411,37140,1.71734944
Writing,Media and Communications,Writing and Editing,961,1.05233188,3293,1.09865546,,,18539,1.48689553,4469,1.27562889,6139,1.60399863,7984,1.10795175,6839,1.52869517,314,1.37979523,58,0.8963066,2049,1.05962114,,,671,1.99732103,9849,1.103019,20614,1.14566521,1430,1.45533742,1772,1.38068598,340,1.38228239,1620,1.05829784,39462,1.08278614,1124,1.43330783,32636,1.50908498
Negotiation,Sales,General Sales Practices,888,0.97239408,2389,0.79705068,,,16568,1.32881412,2255,0.64366596,3139,0.82015828,5508,0.76435348,4387,0.98060911,245,1.07659182,51,0.78813166,1780,0.92051031,,,225,0.66974252,6742,0.75505676,20970,1.16545064,890,0.90576945,1449,1.12901466,294,1.19526772,1235,0.80678878,37962,1.04162808,719,0.91685794,10880,0.50308998
Curiosity,Physical and Inherent Abilities,Personal Attributes,863,0.94501812,1206,0.40236213,,,6592,0.52870248,807,0.23034963,1191,0.31118462,1128,0.15653426,1039,0.23224364,57,0.25047238,11,0.16998918,1446,0.74778535,,,114,0.33933621,2855,0.31974,7241,0.40243339,94,0.09566554,326,0.25400882,36,0.14635931,1190,0.77739162,14462,0.39681854,178,0.22698291,16133,0.74598811
Decision Making,Physical and Inherent Abilities,Initiative and Leadership,850,0.93078262,2020,0.67393988,,,12611,1.01144827,3368,0.96136006,4329,1.13108162,4164,0.57784457,3617,0.80849399,259,1.13811135,144,2.22531293,1570,0.81191078,,,307,0.91382646,6856,0.76782396,16447,0.91407566,1242,1.26400635,1611,1.25523991,242,0.98385982,1383,0.90347278,28558,0.78359451,882,1.12471308,18384,0.8500741
Microsoft Office,Administration,Office and Productivity Equipment and Technology,759,0.83113413,2905,0.96920562,,,21253,1.70456824,3597,1.0267257,4179,1.0918896,10555,1.4647333,6978,1.5597653,257,1.12932285,73,1.12811003,1626,0.84087066,,,479,1.42580741,10331,1.15699962,21783,1.21063478,848,0.86302527,1198,0.93344346,300,1.21966093,1194,0.7800047,42308,1.16087669,705,0.89900536,23624,1.09237111
Time Management,Physical and Inherent Abilities,Initiative and Leadership,736,0.80594825,4479,1.49434491,,,21412,1.71732062,6807,1.94298632,3640,0.95105962,9423,1.30764395,9206,2.0577815,229,1.00628378,38,0.58723536,1442,0.74571678,,,422,1.25613931,10624,1.18981357,20500,1.13932943,643,0.65439298,730,0.56879276,339,1.37821686,1230,0.80352243,47013,1.28997579,488,0.62229023,24592,1.13713132
Self-Motivation,Physical and Inherent Abilities,Initiative and Leadership,694,0.75995664,3286,1.09632002,,,11954,0.95875447,2199,0.62768135,3135,0.81911316,7107,0.98624913,4916,1.09885443,120,0.52731028,55,0.84994591,2193,1.13408939,,,288,0.85727043,10014,1.12149784,17880,0.99371757,823,0.83758231,790,0.61554285,246,1.00012197,1390,0.90804568,45124,1.23814408,387,0.49349656,33431,1.54584569
Microsoft PowerPoint,Administration,Office and Productivity Equipment and Technology,660,0.72272533,1123,0.37467054,,,7281,0.5839628,2656,0.75812717,2450,0.64013628,4630,0.6425121,2647,0.59167365,170,0.74702289,36,0.55632823,1013,0.52386345,,,281,0.83643399,4039,0.4523397,9979,0.55460334,816,0.83045828,1014,0.79007651,142,0.57730618,735,0.48015365,15903,0.43635771,610,0.77786279,10905,0.50424598
Verbal Communication Skills,Media and Communications,Communication,659,0.72163029,2553,0.85176659,,,13063,1.04770032,1731,0.49409569,3834,1.00174796,6584,0.91367163,4540,1.01480861,160,0.70308037,34,0.52542111,1896,0.98049863,,,317,0.9435928,7688,0.86100214,15294,0.84999533,565,0.57501094,828,0.64515124,223,0.90661463,1312,0.8570906,33755,0.92619345,559,0.71282836,25495,1.17888594
Analytical Skills,Physical and Inherent Abilities,Critical Thinking and Problem Solving,651,0.71286999,2194,0.73199213,,,13526,1.08483461,1966,0.56117396,3452,0.90193896,5525,0.7667126,4148,0.92718636,213,0.93597574,38,0.58723536,1724,0.89155044,,,363,1.08051793,6425,0.71955498,15677,0.87128134,718,0.73072187,1164,0.90695174,200,0.81310729,875,0.57161149,30717,0.84283467,694,0.88497832,14894,0.68869689
